origin,path,line,text
repository,mlkem/src/indcpa.c,356,"  ensures(forall(k0, 0, MLKEM_K, array_abs_bound(pv->vec[k0].coeffs, 0, MLKEM_N, MLKEM_ETA1 + 1)))"
repository,mlkem/src/indcpa.c,357,"  ensures(forall(k1, 0, MLKEM_K, array_abs_bound(e->vec[k1].coeffs, 0, MLKEM_N, MLKEM_ETA1 + 1)))"
repository,mlkem/src/indcpa.c,397,__contract__(
repository,mlkem/src/indcpa.c,398,"  requires(memory_no_alias(sp, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,399,"  requires(memory_no_alias(ep, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,400,"  requires(memory_no_alias(epp, sizeof(mlk_poly)))"
repository,mlkem/src/indcpa.c,401,"  requires(memory_no_alias(coins, MLKEM_SYMBYTES))"
repository,mlkem/src/indcpa.c,402,"  assigns(memory_slice(sp, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,403,"  assigns(memory_slice(ep, sizeof(mlk_polyvec)))"
repository,mlkem/src/indcpa.c,404,"  assigns(memory_slice(epp, sizeof(mlk_poly)))"
repository,mlkem/src/indcpa.c,405,"  ensures(forall(k0, 0, MLKEM_K, array_abs_bound(sp->vec[k0].coeffs, 0, MLKEM_N, MLKEM_ETA1 + 1)))"
repository,mlkem/src/indcpa.c,406,"  ensures(forall(k1, 0, MLKEM_K, array_abs_bound(ep->vec[k1].coeffs, 0, MLKEM_N, MLKEM_ETA2 + 1)))"
repository,mlkem/src/indcpa.c,407,"  ensures(array_abs_bound(epp->coeffs, 0, MLKEM_N, MLKEM_ETA2 + 1))"
repository,mlkem/src/indcpa.c,571,"  mlk_poly_add(v, epp);"
repository,mlkem/src/indcpa.c,572,"  mlk_poly_add(v, k);"
repository,mlkem/src/poly.c,44,__contract__(
repository,mlkem/src/poly.c,45,  requires(b > -MLKEM_Q_HALF && b < MLKEM_Q_HALF)
repository,mlkem/src/poly.c,46,  ensures(return_value > -MLKEM_Q && return_value < MLKEM_Q)
repository,mlkem/src/poly.c,76,__contract__(
repository,mlkem/src/poly.c,77,  ensures(return_value > -MLKEM_Q_HALF && return_value < MLKEM_Q_HALF)
repository,mlkem/src/poly.c,110,__contract__(
repository,mlkem/src/poly.c,111,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,112,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,113,"  ensures(array_abs_bound(r->coeffs, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.c,119,  __loop__(
repository,mlkem/src/poly.c,120,    invariant(i <= MLKEM_N)
repository,mlkem/src/poly.c,121,"    invariant(array_abs_bound(r->coeffs, 0, i, MLKEM_Q))"
repository,mlkem/src/poly.c,122,    decreases(MLKEM_N - i))
repository,mlkem/src/poly.c,161,__contract__(
repository,mlkem/src/poly.c,162,  requires(c > -MLKEM_Q && c < MLKEM_Q)
repository,mlkem/src/poly.c,163,  ensures(return_value >= 0 && return_value < MLKEM_Q)
repository,mlkem/src/poly.c,164,  ensures(return_value == (int32_t)c + (((int32_t)c < 0) * MLKEM_Q)))
repository,mlkem/src/poly.c,186,__contract__(
repository,mlkem/src/poly.c,187,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,188,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,189,"  ensures(array_bound(r->coeffs, 0, MLKEM_N, 0, MLKEM_Q))"
repository,mlkem/src/poly.c,195,  __loop__(
repository,mlkem/src/poly.c,196,    invariant(i <= MLKEM_N)
repository,mlkem/src/poly.c,197,"    invariant(array_bound(r->coeffs, 0, i, 0, MLKEM_Q))"
repository,mlkem/src/poly.c,198,    decreases(MLKEM_N - i))
repository,mlkem/src/poly.c,225,/* Reference: `poly_add()` in the reference implementation @[REF].
repository,mlkem/src/poly.c,229,"void mlk_poly_add(mlk_poly *r, const mlk_poly *b)"
repository,mlkem/src/poly.c,233,  __loop__(
repository,mlkem/src/poly.c,234,    invariant(i <= MLKEM_N)
repository,mlkem/src/poly.c,235,"    invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))"
repository,mlkem/src/poly.c,236,"    invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] + b->coeffs[k1]))"
repository,mlkem/src/poly.c,237,    decreases(MLKEM_N - i))
repository,mlkem/src/poly.c,252,  __loop__(
repository,mlkem/src/poly.c,253,    invariant(i <= MLKEM_N)
repository,mlkem/src/poly.c,254,"    invariant(forall(k0, i, MLKEM_N, r->coeffs[k0] == loop_entry(*r).coeffs[k0]))"
repository,mlkem/src/poly.c,255,"    invariant(forall(k1, 0, i, r->coeffs[k1] == loop_entry(*r).coeffs[k1] - b->coeffs[k1]))"
repository,mlkem/src/poly.c,256,    decreases(MLKEM_N - i))
repository,mlkem/src/poly.c,271,__contract__(
repository,mlkem/src/poly.c,272,"  requires(memory_no_alias(x, sizeof(mlk_poly_mulcache)))"
repository,mlkem/src/poly.c,273,"  requires(memory_no_alias(a, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,274,"  assigns(memory_slice(x, sizeof(mlk_poly_mulcache)))"
repository,mlkem/src/poly.c,279,  __loop__(
repository,mlkem/src/poly.c,280,    invariant(i <= MLKEM_N / 4)
repository,mlkem/src/poly.c,281,"    invariant(array_abs_bound(x->coeffs, 0, 2 * i, MLKEM_Q))"
repository,mlkem/src/poly.c,282,    decreases(MLKEM_N / 4 - i))
repository,mlkem/src/poly.c,346,__contract__(
repository,mlkem/src/poly.c,347,  requires(start < MLKEM_N)
repository,mlkem/src/poly.c,348,  requires(1 <= len && len <= MLKEM_N / 2 && start + 2 * len <= MLKEM_N)
repository,mlkem/src/poly.c,349,  requires(0 <= bound && bound < INT16_MAX - MLKEM_Q)
repository,mlkem/src/poly.c,350,  requires(-MLKEM_Q_HALF < zeta && zeta < MLKEM_Q_HALF)
repository,mlkem/src/poly.c,351,"  requires(memory_no_alias(r, sizeof(int16_t) * MLKEM_N))"
repository,mlkem/src/poly.c,352,"  requires(array_abs_bound(r, 0, start, bound + MLKEM_Q))"
repository,mlkem/src/poly.c,353,"  requires(array_abs_bound(r, start, MLKEM_N, bound))"
repository,mlkem/src/poly.c,354,"  assigns(memory_slice(r, sizeof(int16_t) * MLKEM_N))"
repository,mlkem/src/poly.c,355,"  ensures(array_abs_bound(r, 0, start + 2*len, bound + MLKEM_Q))"
repository,mlkem/src/poly.c,356,"  ensures(array_abs_bound(r, start + 2 * len, MLKEM_N, bound)))"
repository,mlkem/src/poly.c,362,  __loop__(
repository,mlkem/src/poly.c,363,    invariant(start <= j && j <= start + len)
repository,mlkem/src/poly.c,368,"    invariant(array_abs_bound(r, 0,           j,           bound + MLKEM_Q))"
repository,mlkem/src/poly.c,369,"    invariant(array_abs_bound(r, j,           start + len, bound))"
repository,mlkem/src/poly.c,370,"    invariant(array_abs_bound(r, start + len, j + len,     bound + MLKEM_Q))"
repository,mlkem/src/poly.c,371,"    invariant(array_abs_bound(r, j + len,     MLKEM_N,     bound))"
repository,mlkem/src/poly.c,372,    decreases(start + len - j))
repository,mlkem/src/poly.c,391,__contract__(
repository,mlkem/src/poly.c,392,"  requires(memory_no_alias(r, sizeof(int16_t) * MLKEM_N))"
repository,mlkem/src/poly.c,393,  requires(1 <= layer && layer <= 7)
repository,mlkem/src/poly.c,394,"  requires(array_abs_bound(r, 0, MLKEM_N, layer * MLKEM_Q))"
repository,mlkem/src/poly.c,395,"  assigns(memory_slice(r, sizeof(int16_t) * MLKEM_N))"
repository,mlkem/src/poly.c,396,"  ensures(array_abs_bound(r, 0, MLKEM_N, (layer + 1) * MLKEM_Q)))"
repository,mlkem/src/poly.c,403,  __loop__(
repository,mlkem/src/poly.c,404,    invariant(start < MLKEM_N + 2 * len)
repository,mlkem/src/poly.c,405,    invariant(k <= MLKEM_N / 2 && 2 * len * k == start + MLKEM_N)
repository,mlkem/src/poly.c,406,"    invariant(array_abs_bound(r, 0, start, layer * MLKEM_Q + MLKEM_Q))"
repository,mlkem/src/poly.c,407,"    invariant(array_abs_bound(r, start, MLKEM_N, layer * MLKEM_Q))"
repository,mlkem/src/poly.c,408,    decreases(MLKEM_N - start))
repository,mlkem/src/poly.c,428,__contract__(
repository,mlkem/src/poly.c,429,"  requires(memory_no_alias(p, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,430,"  requires(array_abs_bound(p->coeffs, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.c,431,"  assigns(memory_slice(p, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,432,"  ensures(array_abs_bound(p->coeffs, 0, MLKEM_N, MLK_NTT_BOUND))"
repository,mlkem/src/poly.c,443,  __loop__(
repository,mlkem/src/poly.c,444,    invariant(1 <= layer && layer <= 8)
repository,mlkem/src/poly.c,445,"    invariant(array_abs_bound(r, 0, MLKEM_N, layer * MLKEM_Q))"
repository,mlkem/src/poly.c,446,    decreases(8 - layer))
repository,mlkem/src/poly.c,477,__contract__(
repository,mlkem/src/poly.c,478,"  requires(memory_no_alias(r, sizeof(int16_t) * MLKEM_N))"
repository,mlkem/src/poly.c,479,  requires(1 <= layer && layer <= 7)
repository,mlkem/src/poly.c,480,"  requires(array_abs_bound(r, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.c,481,"  assigns(memory_slice(r, sizeof(int16_t) * MLKEM_N))"
repository,mlkem/src/poly.c,482,"  ensures(array_abs_bound(r, 0, MLKEM_N, MLKEM_Q)))"
repository,mlkem/src/poly.c,488,  __loop__(
repository,mlkem/src/poly.c,489,"    invariant(array_abs_bound(r, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.c,490,    invariant(start <= MLKEM_N && k <= 127)
repository,mlkem/src/poly.c,492,    invariant(2 * len * k + start == 2 * MLKEM_N - 2 * len)
repository,mlkem/src/poly.c,493,    decreases(MLKEM_N - start))
repository,mlkem/src/poly.c,498,    __loop__(
repository,mlkem/src/poly.c,499,      invariant(start <= j && j <= start + len)
repository,mlkem/src/poly.c,500,      invariant(start <= MLKEM_N && k <= 127)
repository,mlkem/src/poly.c,501,"      invariant(array_abs_bound(r, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.c,502,      decreases(start + len - j))
repository,mlkem/src/poly.c,519,__contract__(
repository,mlkem/src/poly.c,520,"  requires(memory_no_alias(p, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,521,"  assigns(memory_slice(p, sizeof(mlk_poly)))"
repository,mlkem/src/poly.c,522,"  ensures(array_abs_bound(p->coeffs, 0, MLKEM_N, MLK_INVNTT_BOUND))"
repository,mlkem/src/poly.c,535,  __loop__(
repository,mlkem/src/poly.c,536,    invariant(j <= MLKEM_N)
repository,mlkem/src/poly.c,537,"    invariant(array_abs_bound(r, 0, j, MLKEM_Q))"
repository,mlkem/src/poly.c,538,    decreases(MLKEM_N - j))
repository,mlkem/src/poly.c,545,  __loop__(
repository,mlkem/src/poly.c,546,    invariant(0 <= layer && layer < 8)
repository,mlkem/src/poly.c,547,"    invariant(array_abs_bound(r, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.c,548,    decreases(layer))
repository,mlkem/src/poly.h,59,__contract__(
repository,mlkem/src/poly.h,60,    requires(a < +(INT32_MAX - (((int32_t)1 << 15) * MLKEM_Q)) &&
repository,mlkem/src/poly.h,117,__contract__(
repository,mlkem/src/poly.h,118,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,119,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,120,"  ensures(array_abs_bound(r->coeffs, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.h,148,__contract__(
repository,mlkem/src/poly.h,149,"  requires(memory_no_alias(x, sizeof(mlk_poly_mulcache)))"
repository,mlkem/src/poly.h,150,"  requires(memory_no_alias(a, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,151,"  assigns(memory_slice(x, sizeof(mlk_poly_mulcache)))"
repository,mlkem/src/poly.h,175,__contract__(
repository,mlkem/src/poly.h,176,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,177,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,178,"  ensures(array_bound(r->coeffs, 0, MLKEM_N, 0, MLKEM_Q))"
repository,mlkem/src/poly.h,181,#define mlk_poly_add MLK_NAMESPACE(poly_add)
repository,mlkem/src/poly.h,196, * NOTE: The reference implementation uses a 3-argument mlk_poly_add.
repository,mlkem/src/poly.h,200,"void mlk_poly_add(mlk_poly *r, const mlk_poly *b)"
repository,mlkem/src/poly.h,201,__contract__(
repository,mlkem/src/poly.h,202,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,203,"  requires(memory_no_alias(b, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,204,"  requires(forall(k0, 0, MLKEM_N, (int32_t) r->coeffs[k0] + b->coeffs[k0] <= INT16_MAX))"
repository,mlkem/src/poly.h,205,"  requires(forall(k1, 0, MLKEM_N, (int32_t) r->coeffs[k1] + b->coeffs[k1] >= INT16_MIN))"
repository,mlkem/src/poly.h,206,"  ensures(forall(k, 0, MLKEM_N, r->coeffs[k] == old(*r).coeffs[k] + b->coeffs[k]))"
repository,mlkem/src/poly.h,207,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,226,__contract__(
repository,mlkem/src/poly.h,227,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,228,"  requires(memory_no_alias(b, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,229,"  requires(forall(k0, 0, MLKEM_N, (int32_t) r->coeffs[k0] - b->coeffs[k0] <= INT16_MAX))"
repository,mlkem/src/poly.h,230,"  requires(forall(k1, 0, MLKEM_N, (int32_t) r->coeffs[k1] - b->coeffs[k1] >= INT16_MIN))"
repository,mlkem/src/poly.h,231,"  ensures(forall(k, 0, MLKEM_N, r->coeffs[k] == old(*r).coeffs[k] - b->coeffs[k]))"
repository,mlkem/src/poly.h,232,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,256,__contract__(
repository,mlkem/src/poly.h,257,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,258,"  requires(array_abs_bound(r->coeffs, 0, MLKEM_N, MLKEM_Q))"
repository,mlkem/src/poly.h,259,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,260,"  ensures(array_abs_bound(r->coeffs, 0, MLKEM_N, MLK_NTT_BOUND))"
repository,mlkem/src/poly.h,284,__contract__(
repository,mlkem/src/poly.h,285,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,286,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly.h,287,"  ensures(array_abs_bound(r->coeffs, 0, MLKEM_N, MLK_INVNTT_BOUND))"
repository,mlkem/src/poly_k.c,86,  __loop__(
repository,mlkem/src/poly_k.c,87,"    assigns(i, memory_slice(r, MLKEM_POLYVECBYTES))"
repository,mlkem/src/poly_k.c,88,    invariant(i <= MLKEM_K)
repository,mlkem/src/poly_k.c,89,    decreases(MLKEM_K - i)
repository,mlkem/src/poly_k.c,153,__contract__(
repository,mlkem/src/poly_k.c,154,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.c,155,"  requires(memory_no_alias(a, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.c,156,"  requires(memory_no_alias(b, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.c,157,"  requires(memory_no_alias(b_cache, sizeof(mlk_polyvec_mulcache)))"
repository,mlkem/src/poly_k.c,158,"  requires(forall(k1, 0, MLKEM_K,"
repository,mlkem/src/poly_k.c,160,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.c,167,  __loop__(invariant(i <= MLKEM_N / 2)
repository,mlkem/src/poly_k.c,168,           decreases(MLKEM_N / 2 - i))
repository,mlkem/src/poly_k.c,173,    __loop__(
repository,mlkem/src/poly_k.c,174,      invariant(k <= MLKEM_K &&
repository,mlkem/src/poly_k.c,179,      decreases(MLKEM_K - k))
repository,mlkem/src/poly_k.c,264,  __loop__(
repository,mlkem/src/poly_k.c,265,"    assigns(i, memory_slice(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.c,266,    invariant(i <= MLKEM_K)
repository,mlkem/src/poly_k.c,267,"    invariant(forall(j0, i, MLKEM_K,"
repository,mlkem/src/poly_k.c,271,"    invariant(forall(j2, 0, i,"
repository,mlkem/src/poly_k.c,275,    decreases(MLKEM_K - i)
repository,mlkem/src/poly_k.c,278,"    mlk_poly_add(&r->vec[i], &b->vec[i]);"
repository,mlkem/src/poly_k.c,312,__contract__(
repository,mlkem/src/poly_k.c,313,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.c,314,"  requires(memory_no_alias(buf, MLKEM_ETA1 * MLKEM_N / 4))"
repository,mlkem/src/poly_k.c,315,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.c,316,"  ensures(array_abs_bound(r->coeffs, 0, MLKEM_N, MLKEM_ETA1 + 1))"
repository,mlkem/src/poly_k.c,399,__contract__(
repository,mlkem/src/poly_k.c,400,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.c,401,"  requires(memory_no_alias(buf, MLKEM_ETA2 * MLKEM_N / 4))"
repository,mlkem/src/poly_k.c,402,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.c,403,"  ensures(array_abs_bound(r->coeffs, 0, MLKEM_N, MLKEM_ETA2 + 1)))"
repository,mlkem/src/poly_k.h,64,__contract__(
repository,mlkem/src/poly_k.h,65,"  requires(memory_no_alias(r, MLKEM_POLYCOMPRESSEDBYTES_DU))"
repository,mlkem/src/poly_k.h,66,"  requires(memory_no_alias(a, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,67,"  requires(array_bound(a->coeffs, 0, MLKEM_N, 0, MLKEM_Q))"
repository,mlkem/src/poly_k.h,68,"  assigns(memory_slice(r, MLKEM_POLYCOMPRESSEDBYTES_DU)))"
repository,mlkem/src/poly_k.h,97,__contract__(
repository,mlkem/src/poly_k.h,98,"  requires(memory_no_alias(a, MLKEM_POLYCOMPRESSEDBYTES_DU))"
repository,mlkem/src/poly_k.h,99,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,100,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,101,"  ensures(array_bound(r->coeffs, 0, MLKEM_N, 0, MLKEM_Q)))"
repository,mlkem/src/poly_k.h,127,__contract__(
repository,mlkem/src/poly_k.h,128,"  requires(memory_no_alias(r, MLKEM_POLYCOMPRESSEDBYTES_DV))"
repository,mlkem/src/poly_k.h,129,"  requires(memory_no_alias(a, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,130,"  requires(array_bound(a->coeffs, 0, MLKEM_N, 0, MLKEM_Q))"
repository,mlkem/src/poly_k.h,131,"  assigns(memory_slice(r, MLKEM_POLYCOMPRESSEDBYTES_DV)))"
repository,mlkem/src/poly_k.h,161,__contract__(
repository,mlkem/src/poly_k.h,162,"  requires(memory_no_alias(a, MLKEM_POLYCOMPRESSEDBYTES_DV))"
repository,mlkem/src/poly_k.h,163,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,164,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,165,"  ensures(array_bound(r->coeffs, 0, MLKEM_N, 0, MLKEM_Q)))"
repository,mlkem/src/poly_k.h,192,__contract__(
repository,mlkem/src/poly_k.h,193,"  requires(memory_no_alias(r, MLKEM_POLYVECCOMPRESSEDBYTES_DU))"
repository,mlkem/src/poly_k.h,194,"  requires(memory_no_alias(a, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,195,"  requires(forall(k0, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,197,"  assigns(memory_slice(r, MLKEM_POLYVECCOMPRESSEDBYTES_DU))"
repository,mlkem/src/poly_k.h,217,__contract__(
repository,mlkem/src/poly_k.h,218,"  requires(memory_no_alias(a, MLKEM_POLYVECCOMPRESSEDBYTES_DU))"
repository,mlkem/src/poly_k.h,219,"  requires(memory_no_alias(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,220,"  assigns(memory_slice(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,221,"  ensures(forall(k0, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,239,__contract__(
repository,mlkem/src/poly_k.h,240,"  requires(memory_no_alias(a, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,241,"  requires(memory_no_alias(r, MLKEM_POLYVECBYTES))"
repository,mlkem/src/poly_k.h,242,"  requires(forall(k0, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,244,"  assigns(memory_slice(r, MLKEM_POLYVECBYTES))"
repository,mlkem/src/poly_k.h,261,__contract__(
repository,mlkem/src/poly_k.h,262,"  requires(memory_no_alias(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,263,"  requires(memory_no_alias(a, MLKEM_POLYVECBYTES))"
repository,mlkem/src/poly_k.h,264,"  assigns(memory_slice(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,265,"  ensures(forall(k0, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,286,__contract__(
repository,mlkem/src/poly_k.h,287,"  requires(memory_no_alias(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,288,"  requires(forall(j, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,290,"  assigns(memory_slice(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,291,"  ensures(forall(j, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,313,__contract__(
repository,mlkem/src/poly_k.h,314,"  requires(memory_no_alias(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,315,"  assigns(memory_slice(r, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,316,"  ensures(forall(j, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,343,__contract__(
repository,mlkem/src/poly_k.h,344,"  requires(memory_no_alias(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,345,"  requires(memory_no_alias(a, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,346,"  requires(memory_no_alias(b, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,347,"  requires(memory_no_alias(b_cache, sizeof(mlk_polyvec_mulcache)))"
repository,mlkem/src/poly_k.h,348,"  requires(forall(k1, 0, MLKEM_K,"
repository,mlkem/src/poly_k.h,350,"  assigns(memory_slice(r, sizeof(mlk_poly)))"
repository,mlkem/src/poly_k.h,381,__contract__(
repository,mlkem/src/poly_k.h,382,"  requires(memory_no_alias(x, sizeof(mlk_polyvec_mulcache)))"
repository,mlkem/src/poly_k.h,383,"  requires(memory_no_alias(a, sizeof(mlk_polyvec)))"
repository,mlkem/src/poly_k.h,384,"  assigns(memory_slice(x, sizeof(mlk_polyvec_mulcache)))"
repository,mlkem/src/poly_k.h,407,__contract__(
