sha256	category	inventory_theorem	inventory_role	original_relative_path	canonical_collection_file
a57b9af0d386fa6682df69294ef7275de22d0e1811e92f5d24991d908a11efa2	T2	T2	MUTATION	FROMMSG_T2_AUTHORITATIVE_CLOSURE/RUN_20260724T150425Z/frommsg_t2_mutation_harness.c	T2/T2_MUTATION_a57b9af0d386_frommsg_t2_mutation_harness.c
f6492b2d4880ae7b8a032e42cddbe2d48311413a97fe13a429872090916ffd4a	T2	T2	REACHABILITY,INTEGRITY_COMPANION	FROMMSG_T2_AUTHORITATIVE_CLOSURE/RUN_20260724T150425Z/frommsg_t2_reachability_harness.c	T2/T2_REACHABILITY_INTEGRITY_COMPANION_f6492b2d4880_frommsg_t2_reachability_harness.c
d737862668ee87ce13e566157ee3dc9ecc89eaa1fadded0f9370dbf1cd3fa532	T2	T2	POSITIVE	FROMMSG_T2_AUTHORITATIVE_CLOSURE/RUN_20260724T150425Z/frommsg_t2_relational_harness.c	T2/T2_POSITIVE_d737862668ee_frommsg_t2_relational_harness.c
a57b9af0d386fa6682df69294ef7275de22d0e1811e92f5d24991d908a11efa2	T2	T2	REACHABILITY,MUTATION	FROMMSG_T2_NONVACUITY_MUTATION_PREFLIGHT/RUN_20260724T145544Z/frommsg_t2_mutation_harness_20260724T145544Z.c	T2/T2_MUTATION_a57b9af0d386_frommsg_t2_mutation_harness.c
f6492b2d4880ae7b8a032e42cddbe2d48311413a97fe13a429872090916ffd4a	T2	T2	REACHABILITY,MUTATION,INTEGRITY_COMPANION	FROMMSG_T2_NONVACUITY_MUTATION_PREFLIGHT/RUN_20260724T145544Z/frommsg_t2_reachability_harness_20260724T145544Z.c	T2/T2_REACHABILITY_INTEGRITY_COMPANION_f6492b2d4880_frommsg_t2_reachability_harness.c
d737862668ee87ce13e566157ee3dc9ecc89eaa1fadded0f9370dbf1cd3fa532	T2	T2	POSITIVE	FROMMSG_T2_RELATIONAL_LOCALITY_PREFLIGHT/RUN_20260724T145125Z/frommsg_t2_relational_harness_20260724T145125Z.c	T2/T2_POSITIVE_d737862668ee_frommsg_t2_relational_harness.c
89311dbccb474c7d3e9ef66520ec0da702e85074c26c3de4774a3cd7ee9a82fe	T3	T3	POSITIVE,COMPOSITION	FROMMSG_T3_AUTHORITATIVE_CLOSURE/RUN_20260724T154928Z/frommsg_t3_codec_inversion_harness.c	T3/T3_POSITIVE_COMPOSITION_89311dbccb47_frommsg_t3_codec_inversion_harness.c
68b9b429185c5f6cc6fcbe9cca6b88cab8f1dd6836ab0e60a874b109423dd150	T3	T3	MUTATION,INTEGRITY_COMPANION,COMPOSITION	FROMMSG_T3_AUTHORITATIVE_CLOSURE/RUN_20260724T154928Z/frommsg_t3_mutation_harness.c	T3/T3_MUTATION_INTEGRITY_COMPANION_COMPOSITION_68b9b429185c_frommsg_t3_mutation_harness.c
1d77870028e56ca52b943ab14803c40ec857c51045e60b9d7508e39577a6d195	T3	T3	REACHABILITY,INTEGRITY_COMPANION,COMPOSITION	FROMMSG_T3_AUTHORITATIVE_CLOSURE/RUN_20260724T154928Z/frommsg_t3_reachability_harness.c	T3/T3_REACHABILITY_INTEGRITY_COMPANION_COMPOSITION_1d77870028e5_frommsg_t3_reachability_harness.c
f54e9677507191cd2e8a27705211aa3dea4e2e1b421d0b993fef9d210d12c21a	T3	T3	COMPOSITION,BINDING	FROMMSG_T3_CODEC_COMPOSITION_BINDING/RUN_20260724T151257Z/frommsg_t3_binding_harness_20260724T151257Z.c	T3/T3_COMPOSITION_BINDING_f54e96775071_frommsg_t3_binding_harness_20260724T151257Z.c
f54e9677507191cd2e8a27705211aa3dea4e2e1b421d0b993fef9d210d12c21a	T3	T3	COMPOSITION,BINDING	FROMMSG_T3_CODEC_COMPOSITION_BINDING_FINAL_CLASSIFICATION/RUN_20260724T152416Z/frommsg_t3_binding_harness.c	T3/T3_COMPOSITION_BINDING_f54e96775071_frommsg_t3_binding_harness_20260724T151257Z.c
f54e9677507191cd2e8a27705211aa3dea4e2e1b421d0b993fef9d210d12c21a	T3	T3	COMPOSITION,BINDING	FROMMSG_T3_CODEC_COMPOSITION_BINDING_RECOVERY/RUN_20260724T152023Z/frommsg_t3_binding_harness.c	T3/T3_COMPOSITION_BINDING_f54e96775071_frommsg_t3_binding_harness_20260724T151257Z.c
f54e9677507191cd2e8a27705211aa3dea4e2e1b421d0b993fef9d210d12c21a	T3	T3	COMPOSITION,BINDING	FROMMSG_T3_CODEC_COMPOSITION_BINDING_RECOVERY/RUN_20260724T152209Z_STRUCTURAL_RECOVERY/frommsg_t3_binding_harness.c	T3/T3_COMPOSITION_BINDING_f54e96775071_frommsg_t3_binding_harness_20260724T151257Z.c
89311dbccb474c7d3e9ef66520ec0da702e85074c26c3de4774a3cd7ee9a82fe	T3	T3	POSITIVE,COMPOSITION	FROMMSG_T3_CODEC_INVERSION_PREFLIGHT/RUN_20260724T152814Z/frommsg_t3_codec_inversion_harness_20260724T152814Z.c	T3/T3_POSITIVE_COMPOSITION_89311dbccb47_frommsg_t3_codec_inversion_harness.c
89311dbccb474c7d3e9ef66520ec0da702e85074c26c3de4774a3cd7ee9a82fe	T3	T3	POSITIVE,COMPOSITION	FROMMSG_T3_CODEC_INVERSION_PREFLIGHT_RECOVERY/RUN_20260724T153142Z/frommsg_t3_codec_inversion_harness.c	T3/T3_POSITIVE_COMPOSITION_89311dbccb47_frommsg_t3_codec_inversion_harness.c
68b9b429185c5f6cc6fcbe9cca6b88cab8f1dd6836ab0e60a874b109423dd150	T3	T3	REACHABILITY,MUTATION,INTEGRITY_COMPANION,COMPOSITION	FROMMSG_T3_NONVACUITY_MUTATION_PREFLIGHT/RUN_20260724T153813Z/frommsg_t3_mutation_harness_20260724T153813Z.c	T3/T3_MUTATION_INTEGRITY_COMPANION_COMPOSITION_68b9b429185c_frommsg_t3_mutation_harness.c
1d77870028e56ca52b943ab14803c40ec857c51045e60b9d7508e39577a6d195	T3	T3	REACHABILITY,MUTATION,INTEGRITY_COMPANION,COMPOSITION	FROMMSG_T3_NONVACUITY_MUTATION_PREFLIGHT/RUN_20260724T153813Z/frommsg_t3_reachability_harness_20260724T153813Z.c	T3/T3_REACHABILITY_INTEGRITY_COMPANION_COMPOSITION_1d77870028e5_frommsg_t3_reachability_harness.c
68b9b429185c5f6cc6fcbe9cca6b88cab8f1dd6836ab0e60a874b109423dd150	T3	T3	REACHABILITY,MUTATION,INTEGRITY_COMPANION,COMPOSITION	FROMMSG_T3_NONVACUITY_MUTATION_PREFLIGHT/RUN_20260724T154407Z/frommsg_t3_mutation_harness_20260724T154407Z.c	T3/T3_MUTATION_INTEGRITY_COMPANION_COMPOSITION_68b9b429185c_frommsg_t3_mutation_harness.c
1d77870028e56ca52b943ab14803c40ec857c51045e60b9d7508e39577a6d195	T3	T3	REACHABILITY,MUTATION,INTEGRITY_COMPANION,COMPOSITION	FROMMSG_T3_NONVACUITY_MUTATION_PREFLIGHT/RUN_20260724T154407Z/frommsg_t3_reachability_harness_20260724T154407Z.c	T3/T3_REACHABILITY_INTEGRITY_COMPANION_COMPOSITION_1d77870028e5_frommsg_t3_reachability_harness.c
a21c23836870033068dc1b5bd2d2168ff37b92750eac6222a7a7a91fbd725c7d	T4	T4	POSITIVE	FROMMSG_T4_SUPPORT_WEIGHT_METRIC_PREFLIGHT/RUN_20260724T161124Z/frommsg_t4_support_weight_metric_harness_20260724T161124Z.c	T4/T4_POSITIVE_a21c23836870_frommsg_t4_support_weight_metric_harness_20260724T161124Z.c
657afc885742ee6bbef421dbf336c07ed0b40f95a92ff251ffb56122dc285266	T1	T1	UNCLASSIFIED_ROLE	FROMSGT1P0_DIRECT_BODY_PREFLIGHT/frommsg_t1_exact_binary_embedding_harness.c	T1/T1_UNCLASSIFIED_ROLE_657afc885742_frommsg_t1_exact_binary_embedding_harness.c
9801faa01860a7ddc6e1a8b92e12df49db5280d9ff5cf3f1048ecb8547abbe03	T1	T1	REACHABILITY	FROMSGT1_AUTHORITATIVE_COMBINED_R2/frommsg_t1_nonvacuity_harness.c	T1/T1_REACHABILITY_9801faa01860_frommsg_t1_nonvacuity_harness.c
f134df4310fc92af17c2a16cf5d56632d32ed379b5c62979a73195d3f486633e	T1	UNASSIGNED	MUTATION	FROMSGT1_AUTHORITATIVE_FINAL_R3/MUTATION_ALWAYS_HALF_harness.c	T1/T1_MUTATION_f134df4310fc_MUTATION_ALWAYS_HALF_harness.c
e4038389be34ce09219430bc7b17f20947c53517725f61f78720160ff24bf198	T1	UNASSIGNED	MUTATION	FROMSGT1_AUTHORITATIVE_FINAL_R3/MUTATION_ALWAYS_ZERO_harness.c	T1/T1_MUTATION_e4038389be34_MUTATION_ALWAYS_ZERO_harness.c
581895384e75565e606b11ff11b289000d7b1c7bc7f92686fa69b2c53e8c4d1d	T1	T1	REACHABILITY	FROMSGT1_AUTHORITATIVE_FINAL_R3/REACH_BIT0_harness.c	T1/T1_REACHABILITY_581895384e75_REACH_BIT0_harness.c
aedf4a78197566528c24686889d642792ef6f9ec0acea286dac9928b72522556	T1	T1	REACHABILITY	FROMSGT1_AUTHORITATIVE_FINAL_R3/REACH_BIT1_harness.c	T1/T1_REACHABILITY_aedf4a781975_REACH_BIT1_harness.c
c650e69307eed6f89ef6460a65b162bf3b279b91fd83c44d0b0426c8f20cab3e	T1	T1	REACHABILITY	FROMSGT1_AUTHORITATIVE_FINAL_R3/REACH_END_harness.c	T1/T1_REACHABILITY_c650e69307ee_REACH_END_harness.c
