sha256	retained_occurrences	retained_paths
0d7204414cd1d46c88b4e2f020d0ebbf7f2f64622c9c24489627fe89c34a9617	2	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/proofs/cbmc/poly_mulcache_compute/poly_mulcache_compute_harness.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/proofs/cbmc/poly_mulcache_compute_native/poly_mulcache_compute_native_harness.c
0f357a30e7ea37351854dc550e502e5a7eaf80184896bf92b40073175706e0dd	12	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/custom_backend/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/compress.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/compress.h
0f4e7024475acf7cc84adc8c013356fd650e312b9ea8855da32fa1531f4af7f7	11	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/dev/aarch64_clean/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/dev/aarch64_opt/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/native/aarch64/src/rej_uniform_table.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/native/aarch64/src/rej_uniform_table.c
10b760e2cd19161b7071a81dbabd7619498a5e0d383416cd2e62b0709399926e	2	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/proofs/cbmc/poly_compress_d11/poly_compress_d11_harness.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/proofs/cbmc/poly_compress_d11_native/poly_compress_d11_native_harness.c
1229009312b61690b2f56babf7a6f648fa9c51ef30d6a5d2a5b44cb23fcc00ff	8	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/fips202/native/aarch64/auto.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/fips202/native/aarch64/auto.h
12fe62f76060aa2cdd41de6170e0c787c516ae753ed32579c9c39b1af55130fb	12	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/custom_backend/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/cbmc.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/cbmc.h
137eb6e5854b8e58c2caec6eea86530c8e7495706f6f5b3e007e25a9875e164f	12	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/custom_backend/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/randombytes.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/randombytes.h
13f44749f65099bee5bc55be260932d5e832bbd091335f1e47c31df464c1881f	12	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/custom_backend/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/verify.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/verify.h
166f9d829d9f1f40e1b066de49c4c181aa1db1fbcda88f3131cb0e62d4be984d	9	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/native/x86_64/src/poly_compress_d4_avx2_asm.S | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/native/x86_64/src/poly_compress_d4_avx2_asm.S
168d0ec3bf50bd45cb0a103d7984e9ccf52f78697718b7e85efdf1beda7abc95	12	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/custom_backend/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/mlkem_native/src/symmetric.h | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/mlkem/src/symmetric.h
179af17d2e0a2442e9fe7b8a195af549dc0cf445de4a1ff9810818096293fffb	10	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/basic_deterministic/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/bring_your_own_fips202_static/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/custom_backend/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_multilevel_native/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/monolithic_build_native/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/examples/multilevel_build_native/auto.mk | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/test/mk/auto.mk
17b89a202be6a65f271f873c6bfbdc2fe364a4b32d52317116f9e8bcc2d9e41d	2	upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/proofs/cbmc/polyvec_permute_bitrev_to_custom/polyvec_permute_bitrev_to_custom_harness.c | upstream/mlkem-native/barrett-reduce-af4c5abd-full-source-snapshot/proofs/cbmc/polyvec_permute_bitrev_to_custom_native/polyvec_permute_bitrev_to_custom_native_harness.c
