retained_path	sha256	original_occurrences	omitted_occurrences	original_paths
experiments/polycomp-d4/T01-compressor-refinement/00-direct-diagnostics/POLYCOMP_D4_00C_T1_DIRECT_DIAG/POLYCOMP_D4_00C_T1_DIRECT_DIAG_20260725T153541Z.txt	7e4f5cbac8071d644d8a221544831d66b280315e0c2afd91be44ab20c7d9737f	2	1	POLYCOMP_D4_00C_T1_DIRECT_DIAG/POLYCOMP_D4_00C_T1_DIRECT_DIAG_20260725T153541Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00C_RUNNER_DIAGNOSIS/POLYCOMP_D4_00C_T1_DIRECT_DIAG_20260725T153541Z.txt
experiments/polycomp-d4/T01-compressor-refinement/00-direct-diagnostics/POLYCOMP_D4_00C_T1_DIRECT_DIAG/POLYCOMP_D4_00C_T1_DIRECT_DIAG_20260725T153541Z.txt.sha256	0667491f4d4edc4e7ba94bd6d427d5120dc8f160d28e0df3a1cecffbaf6801f5	2	1	POLYCOMP_D4_00C_T1_DIRECT_DIAG/POLYCOMP_D4_00C_T1_DIRECT_DIAG_20260725T153541Z.txt.sha256 | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00C_RUNNER_DIAGNOSIS/POLYCOMP_D4_00C_T1_DIRECT_DIAG_20260725T153541Z.txt.sha256
experiments/polycomp-d4/T01-compressor-refinement/00-direct-diagnostics/POLYCOMP_D4_00C_T1_DIRECT_DIAG/POLYCOMP_D4_T1_LOOP_IDS_20260725T153541Z.txt	45cfa2b8a040dbeda74e1e7f6d76fdac209dd789077c75684a16d1188a98ac4b	2	1	POLYCOMP_D4_00C_T1_DIRECT_DIAG/POLYCOMP_D4_T1_LOOP_IDS_20260725T153541Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00C_RUNNER_DIAGNOSIS/POLYCOMP_D4_T1_LOOP_IDS_20260725T153541Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN_20260725T154158Z.txt	d0e1cc158d12b805e940cc97c4877bebf504ad4c558f799fe61214758ca01556	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN_20260725T154158Z.txt.sha256	50a99927d3596a1e991180c577732b437acf349b7815fc5d80318a465a83fe74	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN_20260725T154158Z.txt.sha256 | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN_20260725T154158Z.txt.sha256
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_PROPERTY_REPORT_20260725T154158Z.txt	4623fc346c97e5fbd8b6d5a8517dff4c8e31da9292b5117e8bbad4a22bba5c8c	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_PROPERTY_REPORT_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_PROPERTY_REPORT_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SEMANTIC_RESULT_20260725T154158Z.json	d1491784fe2d9fbff6e56545e636f62eba6869fe251ac7cd5a930a5e2a8bb082	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SEMANTIC_RESULT_20260725T154158Z.json | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_SEMANTIC_RESULT_20260725T154158Z.json
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SEMANTIC_STDERR_20260725T154158Z.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SEMANTIC_STDERR_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_SEMANTIC_STDERR_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SEMANTIC_SUMMARY_20260725T154158Z.txt	ebb7f1217b993d536ca602f59aa12ecfb21b054d6a4206fe510340648b940a9e	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SEMANTIC_SUMMARY_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_SEMANTIC_SUMMARY_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SHOW_LOOPS_20260725T154158Z.txt	83c79e4f74dcc764824c6299d22c6a58d1bcf91f3722f0c6f0e03caff6d675ce	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_SHOW_LOOPS_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_SHOW_LOOPS_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_STRICT_RESULT_20260725T154158Z.json	2e7aa48cb77555416a2d58653cbda7db4a69f308f3b185ee810ac5a76a31b85f	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_STRICT_RESULT_20260725T154158Z.json | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_STRICT_RESULT_20260725T154158Z.json
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_STRICT_STDERR_20260725T154158Z.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_STRICT_STDERR_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_STRICT_STDERR_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_STRICT_SUMMARY_20260725T154158Z.txt	60d2ee4dcb9e2a5796c4565e3c29e18e91b35add5cd0541a4d3f50972842819b	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_STRICT_SUMMARY_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_STRICT_SUMMARY_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/01-positive-semantic-and-strict/POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_UNWIND_MAP_20260725T154158Z.txt	7c6cbfd3db4127471127325129b23670e270b7a8234af565e004e9f27cea5384	2	1	POLYCOMP_D4_00D_T1_VALID_DIRECT_RUN/POLYCOMP_D4_T1_UNWIND_MAP_20260725T154158Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00D_VALID_POSITIVE_RUN/POLYCOMP_D4_T1_UNWIND_MAP_20260725T154158Z.txt
experiments/polycomp-d4/T01-compressor-refinement/02-initial-coverage-attempt/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION_20260725T163139Z.txt	264ca4a4077ce217af74c0780be15612135a2696d7dd5651310905ecb08c4145	2	1	POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION_20260725T163139Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00E_INITIAL_COVERAGE_ATTEMPT/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION_20260725T163139Z.txt
experiments/polycomp-d4/T01-compressor-refinement/02-initial-coverage-attempt/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION_20260725T163139Z.txt.sha256	20b304cfad8754e91323e3fd6ea94994f0c6fd007bfb265794d758958838e778	2	1	POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION_20260725T163139Z.txt.sha256 | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00E_INITIAL_COVERAGE_ATTEMPT/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION_20260725T163139Z.txt.sha256
experiments/polycomp-d4/T01-compressor-refinement/02-initial-coverage-attempt/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/T1_COVERAGE_20260725T163139Z.json	8dff985ac2f6c1b9766926e7ded3050f3b46d7b7b5f1dadddc4695677734b378	2	1	POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/T1_COVERAGE_20260725T163139Z.json | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00E_INITIAL_COVERAGE_ATTEMPT/T1_COVERAGE_20260725T163139Z.json
experiments/polycomp-d4/T01-compressor-refinement/02-initial-coverage-attempt/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/T1_COVERAGE_STDERR_20260725T163139Z.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2	1	POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/T1_COVERAGE_STDERR_20260725T163139Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00E_INITIAL_COVERAGE_ATTEMPT/T1_COVERAGE_STDERR_20260725T163139Z.txt
experiments/polycomp-d4/T01-compressor-refinement/02-initial-coverage-attempt/POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/T1_COVERAGE_SUMMARY_20260725T163139Z.txt	06f2c9e07ac1ab1acb31c7028257e652e10ba8da386e8fa180a300cc97172cde	2	1	POLYCOMP_D4_00E_T1_NONVACUITY_MUTATION/T1_COVERAGE_SUMMARY_20260725T163139Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00E_INITIAL_COVERAGE_ATTEMPT/T1_COVERAGE_SUMMARY_20260725T163139Z.txt
experiments/polycomp-d4/T01-compressor-refinement/03-nonvacuity-and-bitflip-mutation/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT_20260725T163613Z.txt	d0f6fd7c413caf3d9dbd84b53d9621b98ed35d72675cc69c6540f8104528a2c3	2	1	POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT_20260725T163613Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00F_NONVACUITY_BITFLIP/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT_20260725T163613Z.txt
experiments/polycomp-d4/T01-compressor-refinement/03-nonvacuity-and-bitflip-mutation/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT_20260725T163613Z.txt.sha256	113bc97dbd580dc5dc65a60a7b89cd937f3d8e5b238d344ae0a549533b50c64f	2	1	POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT_20260725T163613Z.txt.sha256 | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00F_NONVACUITY_BITFLIP/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT_20260725T163613Z.txt.sha256
experiments/polycomp-d4/T01-compressor-refinement/03-nonvacuity-and-bitflip-mutation/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/T1_ACCEPTED_COVERAGE_SUMMARY_20260725T163613Z.txt	7f1102bf8c1573cf085c97784bff269b6fa715e20a8f1800a357cabda414b002	2	1	POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/T1_ACCEPTED_COVERAGE_SUMMARY_20260725T163613Z.txt | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00F_NONVACUITY_BITFLIP/T1_ACCEPTED_COVERAGE_SUMMARY_20260725T163613Z.txt
experiments/polycomp-d4/T01-compressor-refinement/03-nonvacuity-and-bitflip-mutation/POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/T1_END_REACHABILITY_20260725T163613Z.goto	972ecbb4abb45e65d18fa9ae49781564cc077098419631f8ef63d47a54596587	2	1	POLYCOMP_D4_00F_T1_CONTINUE_NONVAC_MUT/T1_END_REACHABILITY_20260725T163613Z.goto | POLYCOMP_D4_00H_T1_FINAL_FREEZE/POLYCOMP_D4_T1_FINAL_EVIDENCE_20260725T171522Z/campaign_stages/00F_NONVACUITY_BITFLIP/T1_END_REACHABILITY_20260725T163613Z.goto
