property_id,property_type,description,priority,selected_for_harness,evidence_in_harness,cbmc_status,critic_concerns,evaluation_note
P12,modular_arithmetic,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 3, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": """", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 3, ""text"": ""attack model than the PKE scheme. As a result, ML-KEM is believed to satisfy so-called IND-CCA2""}], ""guarantee"": ""attack model than the PKE scheme. As a result, ML-KEM is believed to satisfy so-called IND-CCA2"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P13,modular_arithmetic,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 23, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 23, ""text"": ""of corruption or interference, the process in Figure 1 will result in 𝐾 ′ = 𝐾 with overwhelming""}], ""guarantee"": ""of corruption or interference, the process in Figure 1 will result in 𝐾 ′ = 𝐾 with overwhelming"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P14,modular_arithmetic,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 44, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 44, ""text"": ""both ML-KEM.Encaps and ML-KEM.Decaps will each output a 256-bit value. Moreover, if no""}], ""guarantee"": ""both ML-KEM.Encaps and ML-KEM.Decaps will each output a 256-bit value. Moreover, if no"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P15,modular_arithmetic,"For `mlk_poly_add`, candidate spec-derived property: {""confidence"": 0.66, ""evidence"": [{""confidence"": 0.66, ""end_line"": 80, ""extraction_method"": ""prepost_keyword_regex"", ""section_title"": ""MODULE-LATTICE-BASED KEY-ENCAPSULATION MECHANISM"", ""source_file"": ""/home/girish/thesis-agent-workflow/inputs/specs/fips203_clean.txt"", ""start_line"": 80, ""text"": ""produces the correct output for every input (where “input” includes the specified input as well""}], ""guarantee"": ""produces the correct output for every input (where “input” includes the specified input as well"", ""human_review_required"": true, ""source"": ""postcondition_keyword_extraction""}",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P40,postcondition_validity,"Parsed specification postcondition `attack model than the PKE scheme. As a result, ML-KEM is believed to satisfy so-called IND-CCA2` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P41,postcondition_validity,"Parsed specification postcondition `of corruption or interference, the process in Figure 1 will result in 𝐾 ′ = 𝐾 with overwhelming` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P42,postcondition_validity,"Parsed specification postcondition `both ML-KEM.Encaps and ML-KEM.Decaps will each output a 256-bit value. Moreover, if no` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P43,postcondition_validity,Parsed specification postcondition `produces the correct output for every input (where “input” includes the specified input as well` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P44,postcondition_validity,Parsed specification postcondition `Implementers shall ensure that ML-KEM.Encaps and ML-KEM.Decaps are only executed on` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P45,postcondition_validity,"Parsed specification postcondition `shall ensure that intermediate data is destroyed as soon as it is no longer needed. In particular,` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P46,postcondition_validity,"Parsed specification postcondition `for ML-KEM.KeyGen, ML-KEM.Encaps, and ML-KEM.Decaps, only the designated output can be` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P47,postcondition_validity,Parsed specification postcondition `scheme (specified in this document) that result in differing input-output behavior of the main` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P48,postcondition_validity,Parsed specification postcondition `the input-output behavior of these three algorithms (see “Implementations” and Section 3.3` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P49,postcondition_validity,Parsed specification postcondition `achieving IND-CCA2 security. The scheme K-PKE is not IND-CCA2-secure and shall not be used as` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P50,postcondition_validity,Parsed specification postcondition `random values required for key generation (as specified in ML-KEM.KeyGen) and encapsulation` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P51,postcondition_validity,Parsed specification postcondition `(as specified in ML-KEM.Encaps) shall be performed by the cryptographic module.` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P52,postcondition_validity,"Parsed specification postcondition `If further key derivation is needed, the final symmetric keys shall be derived from this 256-bit` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P53,postcondition_validity,Parsed specification postcondition `must be generated for every such invocation. These random bytes shall be generated using an` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P54,postcondition_validity,"Parsed specification postcondition `this RBG shall have a security strength of at least 128 bits for ML-KEM-512, at least 192 bits for` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P57,postcondition_validity,Parsed specification postcondition `retained in memory after the algorithm terminates. All other data shall be destroyed prior to` should be treated as a candidate assertion for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P25,precondition_validity,"Parsed specification precondition `set are given in Table 2 of Section 8. In addition to these five variable parameters, there are also` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P26,precondition_validity,Parsed specification precondition `(as specified in ML-KEM.Encaps) shall be performed by the cryptographic module.` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P27,precondition_validity,Parsed specification precondition `implementation may replace the given set of steps with any mathematically equivalent set of` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P28,precondition_validity,Parsed specification precondition `produces the correct output for every input (where “input” includes the specified input as well` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P29,precondition_validity,"Parsed specification precondition `If further key derivation is needed, the final symmetric keys shall be derived from this 256-bit` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P30,precondition_validity,Parsed specification precondition `regarding combined KEMs is given in SP 800-227 [1].` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P31,precondition_validity,Parsed specification precondition `Randomness generation. Two algorithms in this standard require the generation of randomness` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P32,precondition_validity,Parsed specification precondition `must be generated for every such invocation. These random bytes shall be generated using an` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P33,precondition_validity,Parsed specification precondition `Input checking. The algorithms ML-KEM.Encaps and ML-KEM.Decaps require input checking.` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P34,precondition_validity,Parsed specification precondition `retained in memory after the algorithm terminates. All other data shall be destroyed prior to` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P35,precondition_validity,Parsed specification precondition `scheme (specified in this document) that result in differing input-output behavior of the main` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P36,precondition_validity,Parsed specification precondition `the input-output behavior of these three algorithms (see “Implementations” and Section 3.3` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P37,precondition_validity,"Parsed specification precondition `As this standard requires the use of NIST-approved randomness generation, this step is` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P38,precondition_validity,Parsed specification precondition `- This specification includes explicit input checking steps that were not part of the third-round` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.,medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P39,precondition_validity,"Parsed specification precondition `specification [4]. For example, ML-KEM.Encaps requires that the byte array containing the` should be treated as a candidate assumption for `mlk_poly_add` only after evidence review.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P22,range_safety,"Parsed FIPS equation/constraint `20, there was an additional step that performed the operation 𝑚 <- 𝐻(𝑚). The purpose` may define a candidate check for `mlk_poly_add` if involved symbols map to code variables.",medium,False,False,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P64,range_safety,"For `mlk_poly_add`, output coefficient range should match selected reduction/modulus rule if explicitly supported by parsed spec and code.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
P65,tool_compatibility,"The CBMC harness for `mlk_poly_add` should include all required headers, helper sources, or safe stubs so verification results are meaningful.",medium,False,True,not_failed_or_not_individually_reported,[],Candidate property retained for possible future harness refinement.
