incoming_top_folder_or_file,file_count,unique_sha256_count,total_bytes,classified_root
MSG02D_R2A_COEFFICIENT_LOCALITY_RUN1_20260723T124247Z_af4c5abdd595,20,17,795646,experiments/poly-tomsg/MSG-T2-relational-properties/03-R2A-coefficient-locality
MSG02E_R2B_CROSS_BIT_PRESERVATION_RUN1_20260723T124630Z_af4c5abdd595,24,18,834477,experiments/poly-tomsg/MSG-T2-relational-properties/04-R2B-cross-bit-preservation
MSG02F_R2A_R2B_REACHABILITY_RUN1_20260723T125105Z_af4c5abdd595,25,21,141892,experiments/poly-tomsg/MSG-T2-relational-properties/05-R2A-R2B-reachability
MSG02G_B_R2B_SECOND_COEFFICIENT_MUTATION_RUN1_20260723T131317Z_af4c5abdd595,24,18,15891076,experiments/poly-tomsg/MSG-T2-relational-properties/07-R2B-second-coefficient-mutation
MSG02G_R2A_EQUALITY_ANTECEDENT_MUTATION_RUN1_20260723T125615Z_af4c5abdd595,24,18,15878230,experiments/poly-tomsg/MSG-T2-relational-properties/06-R2A-equality-antecedent-mutation
MSG02H_R3A_SAME_DECISION_INVARIANCE_RUN1_20260723T131813Z_af4c5abdd595,21,18,805213,experiments/poly-tomsg/MSG-T2-relational-properties/08-R3A-same-decision-invariance
MSG02I_R3B_DETERMINISM_RUN1_20260723T132251Z_af4c5abdd595,24,18,799838,experiments/poly-tomsg/MSG-T2-relational-properties/09-R3B-determinism
MSG02J_R3A_R3B_REACHABILITY_RUN1_20260723T132734Z_af4c5abdd595,25,21,153274,experiments/poly-tomsg/MSG-T2-relational-properties/10-R3A-R3B-reachability
MSG02K_R3A_OPPOSITE_DECISION_MUTATION_RUN1_20260723T133042Z_af4c5abdd595,24,18,15855193,experiments/poly-tomsg/MSG-T2-relational-properties/11-R3A-opposite-decision-mutation
MSG02L_R3B_UNEQUAL_INPUT_MUTATION_RUN1_20260723T133447Z_af4c5abdd595,24,18,15921555,experiments/poly-tomsg/MSG-T2-relational-properties/12-R3B-unequal-input-mutation
MSG02M_T2_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T134156Z_af4c5abdd595,12,12,114333,experiments/poly-tomsg/MSG-T2-relational-properties/13-final-acceptance-and-evidence-freeze
MSG02N_T2_DOCUMENTATION_REPAIR_AND_REFREEZE_20260723T173657Z_af4c5abdd595,10,10,1733723,experiments/poly-tomsg/MSG-T2-relational-properties/14-documentation-repair-and-refreeze
MSG05A_T5_NOVELTY_SOURCE_ANALYSIS_20260723T140332Z_af4c5abdd595,11,11,328638,experiments/poly-tomsg/MSG-T5-exact-offset-interval/00-novelty-and-source-analysis
MSG05B_T5_EXACT_OFFSET_CLASSIFICATION_20260723T163008Z_af4c5abdd595,13,13,182298,experiments/poly-tomsg/MSG-T5-exact-offset-interval/01-exact-offset-classification
MSG05C_T5_PARAMETERIZED_MODEL_BINDING_RUN1_20260723T163437Z_af4c5abdd595,22,16,816770,experiments/poly-tomsg/MSG-T5-exact-offset-interval/02-parameterized-model-binding
MSG05D_T5_EXACT_INTERVAL_SUFFICIENCY_RUN1_20260723T163846Z_af4c5abdd595,22,15,75175,experiments/poly-tomsg/MSG-T5-exact-offset-interval/03-exact-interval-sufficiency
MSG05E_T5_OUTSIDE_INTERVAL_NECESSITY_RUN1_20260723T164237Z_af4c5abdd595,23,16,83273,experiments/poly-tomsg/MSG-T5-exact-offset-interval/04-outside-interval-necessity
MSG05F_T5_REACHABILITY_BOUNDARY_MUTATIONS_RUN1_20260723T164827Z_af4c5abdd595,52,32,180339,experiments/poly-tomsg/MSG-T5-exact-offset-interval/05-reachability-and-boundary-mutations
MSG05G_T5_FINAL_ACCEPTANCE_AND_EVIDENCE_FREEZE_20260723T165407Z_af4c5abdd595,13,13,82853,experiments/poly-tomsg/MSG-T5-exact-offset-interval/06-final-acceptance-and-evidence-freeze
MSG06A_MLK_POLY_TOMSG_COMBINED_CAMPAIGN_CLOSURE_20260723T174232Z_af4c5abdd595,24,24,1195834,experiments/poly-tomsg/MSG06-combined-campaign-closure
