incoming_top_folder,file_count,unique_sha256_count,total_bytes,classified_root,scientific_role
PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z,17,17,50669,experiments/poly-frombytes/98-campaign-closure-and-seal/PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z,"Combined campaign status, report, registries, acceptance reports and final seal."
PFB_CAMPAIGN_FINAL_SEAL_af4c5abd_20260729T054222Z.tar.gz,1,1,15130,experiments/poly-frombytes/90-archive-companions/campaign-final-seal,Top-level frozen archive companion retained intact.
PFB_T1_FINAL_FREEZE_af4c5abd_20260729T043912Z,91,63,21300261,experiments/poly-frombytes/PFB-T1-exact-raw-decoding/90-final-acceptance-and-evidence-freeze/PFB_T1_FINAL_FREEZE_af4c5abd_20260729T043912Z,T1 final acceptance and frozen unique evidence.
PFB_T1_FINAL_FREEZE_af4c5abd_20260729T043912Z.tar.gz,1,1,1451009,experiments/poly-frombytes/90-archive-companions/T1-final-freeze,Top-level frozen archive companion retained intact.
PFB_T2_FINAL_FREEZE_af4c5abd_20260729T050106Z,73,44,69434012,experiments/poly-frombytes/PFB-T2-bit-routing-and-block-locality/90-final-acceptance-and-evidence-freeze/PFB_T2_FINAL_FREEZE_af4c5abd_20260729T050106Z,T2 final acceptance and frozen unique evidence.
PFB_T2_FINAL_FREEZE_af4c5abd_20260729T050106Z.tar.gz,1,1,998850,experiments/poly-frombytes/90-archive-companions/T2-final-freeze,Top-level frozen archive companion retained intact.
PFB_T3_FINAL_FREEZE_af4c5abd_20260729T051133Z,52,37,25300168,experiments/poly-frombytes/PFB-T3-differential-conservation/90-final-acceptance-and-evidence-freeze/PFB_T3_FINAL_FREEZE_af4c5abd_20260729T051133Z,T3 final acceptance and frozen unique evidence.
PFB_T3_FINAL_FREEZE_af4c5abd_20260729T051133Z.tar.gz,1,1,351179,experiments/poly-frombytes/90-archive-companions/T3-final-freeze,Top-level frozen archive companion retained intact.
PFB_T4_FINAL_FREEZE_af4c5abd_20260729T053316Z,61,42,13133589,experiments/poly-frombytes/PFB-T4-raw-domain-inversion/90-final-acceptance-and-evidence-freeze/PFB_T4_FINAL_FREEZE_af4c5abd_20260729T053316Z,T4 final acceptance and frozen unique evidence.
PFB_T4_FINAL_FREEZE_af4c5abd_20260729T053316Z.tar.gz,1,1,281452,experiments/poly-frombytes/90-archive-companions/T4-final-freeze,Top-level frozen archive companion retained intact.
