original_path	sha256	canonical_original_path	retained_destination
06_HARNESS_FREEZE_CANDIDATE/binding/NV/show_properties.txt	238f6b97ed7f335c7eae7f70d6a639631efbd3721f807e7bdeb0a30caf20e6cc	03_goto_binding_repaired/NV/show_properties.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/show_properties.txt
06_HARNESS_FREEZE_CANDIDATE/binding/NV/target_properties.txt	56e077bd2815a935c25eed60cddadc5b574ee35c64cd6a0c948547fc428c9c44	03_goto_binding_repaired/NV/target_properties.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/target_properties.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P1/goto_binary.sha256	261bb8a536a110cc541ed4d77b490fc5a4f654fd562b1438b9efc72cdb5d3153	03_goto_binding_repaired/P1/goto_binary.sha256	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/goto_binary.sha256
06_HARNESS_FREEZE_CANDIDATE/binding/P1/harness_public_call_order.txt	6458aa797f96566a029799dd30cc0e7999fc7aefb77c9c20c93e52cdd56360c2	03_goto_binding_repaired/P1/harness_public_call_order.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/harness_public_call_order.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P1/model_identity.txt	cbfd4543bfa1cc1a889c3a6d96296e17dd17ef538da4268684a0ee5402f4a2d0	03_goto_binding_repaired/P1/model_identity.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/model_identity.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P1/relevant_loops.txt	fb3386360b2ce9cf3cf32388aa340a62e68542bc4c16c613feb0d4d7172636f6	03_goto_binding_repaired/P1/relevant_loops.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/relevant_loops.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P1/show_properties.txt	b123b0f8402dad442b37cf82a4512fb0ba6832426c211c6869cd8a6039a2eaf0	03_goto_binding_repaired/P1/show_properties.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/show_properties.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P1/target_properties.txt	6bafdc9f2301804e91a9ed425b9e498025310b17e2b3b99f7efaf22272453817	03_goto_binding_repaired/P1/target_properties.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/target_properties.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P2/goto_binary.sha256	862285023efe207886a88e40b3f8ad3bf1dbc2fe56578e0ac9c79cee00cfb307	03_goto_binding_repaired/P2/goto_binary.sha256	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/goto_binary.sha256
06_HARNESS_FREEZE_CANDIDATE/binding/P2/harness_public_call_order.txt	3b99a14ec758a7511dfd2e669e0caa29403487c01e57ce658a9f264c68b5436b	03_goto_binding_repaired/P2/harness_public_call_order.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/harness_public_call_order.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P2/model_identity.txt	15c20e9ccad10866b65a1cf78e63c0b057e4398d333bab3dd459bf1812452c69	03_goto_binding_repaired/P2/model_identity.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/model_identity.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P2/relevant_loops.txt	e38ce99fce5d0b2129cae31101ea151502216362854837b00575501ed40ca782	03_goto_binding_repaired/P2/relevant_loops.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/relevant_loops.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P2/show_properties.txt	9a35eadd75d89194d90f8b5a489fe31a704d1bb4a8b5d6b5160633bfd49ed133	03_goto_binding_repaired/P2/show_properties.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/show_properties.txt
06_HARNESS_FREEZE_CANDIDATE/binding/P2/target_properties.txt	efc26048d3436f5f338d74e2060a0ee10ab73c3616d9a08f852475a4e983d22a	03_goto_binding_repaired/P2/target_properties.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/target_properties.txt
06_HARNESS_FREEZE_CANDIDATE/identity/authoritative_source.sha256	13d325a740db811ab02d0a0cd1f3bd379598fdb214714638915f189119cdfbaf	04_identity/authoritative_source.sha256	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/authoritative_source.sha256
06_HARNESS_FREEZE_CANDIDATE/identity/candidate_artifacts_repaired.sha256	ca2624fecd43c066427b91a73bb25559d81bb58eec9271c9e943228fc3b23b45	04_identity/candidate_artifacts_repaired.sha256	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/candidate_artifacts_repaired.sha256
06_HARNESS_FREEZE_CANDIDATE/results/NV/cbmc_command.shellescaped.txt	b630e1771b3c1b9f99f802011d2f8ff7ca33282658dff00cdb8adf555b900fd0	05_direct_cbmc_results/NV/cbmc_command.shellescaped.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/cbmc_command.shellescaped.txt
06_HARNESS_FREEZE_CANDIDATE/results/NV/cbmc_exit_code.txt	917df3320d778ddbaa5c5c7742bc4046bf803c36ed2b050f30844ed206783469	07_INTEGRATION_MUTATION_HARDENING/results/M1/cbmc_exit_code.txt	experiments/poly-bytes-codec/V01-bridge-mutation-sensitivity/results/M1/cbmc_exit_code.txt
06_HARNESS_FREEZE_CANDIDATE/results/NV/execution_status.txt	3d631f37ad5e5f889f2bca4eaee494947975c1d0dbf843aaa94991bc872548b6	05_direct_cbmc_results/NV/execution_status.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/execution_status.txt
06_HARNESS_FREEZE_CANDIDATE/results/P1/cbmc_command.shellescaped.txt	4179ce8a1222abbd1b6cd96224503feeeabc5ff378b4c9191ada85f1f6ad45d8	05_direct_cbmc_results/P1/cbmc_command.shellescaped.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/cbmc_command.shellescaped.txt
06_HARNESS_FREEZE_CANDIDATE/results/P1/cbmc_exit_code.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	07_INTEGRATION_MUTATION_HARDENING/build/M1/make.exit_code.txt	experiments/poly-bytes-codec/V01-bridge-mutation-sensitivity/build/M1/make.exit_code.txt
06_HARNESS_FREEZE_CANDIDATE/results/P1/execution_status.txt	0eca7398c81f6be0cca4cce5f88f9d3307b94f054075b6d0e93e933b5f8321d5	05_direct_cbmc_results/P1/execution_status.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/execution_status.txt
06_HARNESS_FREEZE_CANDIDATE/results/P2/cbmc_command.shellescaped.txt	a939b73cbfbf14cf13ebf290e5ceec19a95c615800a5ba0c5ffc57fc12501d8c	05_direct_cbmc_results/P2/cbmc_command.shellescaped.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/cbmc_command.shellescaped.txt
06_HARNESS_FREEZE_CANDIDATE/results/P2/cbmc_exit_code.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	07_INTEGRATION_MUTATION_HARDENING/build/M1/make.exit_code.txt	experiments/poly-bytes-codec/V01-bridge-mutation-sensitivity/build/M1/make.exit_code.txt
06_HARNESS_FREEZE_CANDIDATE/results/P2/execution_status.txt	efb5e3e342a403c3dcb71299dd5dbd2b1187c08a7ca6bdeadf6d5ecd4ecdf1d3	05_direct_cbmc_results/P2/execution_status.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/execution_status.txt
06_HARNESS_FREEZE_CANDIDATE/verification_intent/PBCODEC_CV1_VERIFICATION_INTENT.md	befca621610706c9e9e59fae1a5cfb612f6e39868743905eeee6e51099ad9be6	00_verification_intent/PBCODEC_CV1_VERIFICATION_INTENT.md	experiments/poly-bytes-codec/00-campaign-setup/verification-intent/PBCODEC_CV1_VERIFICATION_INTENT.md
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/NV/Makefile	bf06cd69768410d23d9daccd84e313fd15083772bbc6cc9d61bdd35ecb5e9ab3	01_harness_candidates/NV/Makefile	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/harness/Makefile
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/NV/pbcodec_cv1_nonvacuity_harness.c	0ba7b2763cd3a0d7c30746f026cf22b27f1e7130f238409245ce8763f90c33f8	01_harness_candidates/NV/pbcodec_cv1_nonvacuity_harness.c	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/harness/pbcodec_cv1_nonvacuity_harness.c
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/P1/Makefile	f0b87f4ea58487fa8828169d90a2ea16aa03852dfbd492bbe4eb6f8736ffbb96	01_harness_candidates/P1/Makefile	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/harness/Makefile
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/P1/pbcodec_cv1_p1_left_inverse_harness.c	04b6a7b4287d75f2badb9612b1738a4c7ac5d5d2ce316464145ccada183c25a6	01_harness_candidates/P1/pbcodec_cv1_p1_left_inverse_harness.c	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/harness/pbcodec_cv1_p1_left_inverse_harness.c
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/P2/Makefile	4647f2300984bfcb84ae26197b0b5ca2547b6edf4131238d1e5501f48ad6ce82	01_harness_candidates/P2/Makefile	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/harness/Makefile
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/P2/pbcodec_cv1_p2_right_inverse_harness.c	5d1d3146ab061fdfdbbd55dd9f967acaa211a109d578b11fe59ffb9e7bcb896e	01_harness_candidates/P2/pbcodec_cv1_p2_right_inverse_harness.c	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/harness/pbcodec_cv1_p2_right_inverse_harness.c
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/PBCODEC_CV1_FREEZE_GATE_SUMMARY.txt	c38321229750daa8b38c713b6dcbb1e366b10409ee7dcb453b144dec65d446e0	06_HARNESS_FREEZE_CANDIDATE/PBCODEC_CV1_FREEZE_GATE_SUMMARY.txt	experiments/poly-bytes-codec/campaign-closure/harness-freeze/PBCODEC_CV1_FREEZE_GATE_SUMMARY.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/PBCODEC_CV1_PROPERTY_MAPPING_DIAGNOSTIC.txt	1fd1f2a7f8c7232b79f2effad12039d0678c8a87cd447a7c81803b92b45e77b6	06_HARNESS_FREEZE_CANDIDATE/PBCODEC_CV1_PROPERTY_MAPPING_DIAGNOSTIC.txt	experiments/poly-bytes-codec/campaign-closure/harness-freeze/PBCODEC_CV1_PROPERTY_MAPPING_DIAGNOSTIC.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/PBCODEC_CV1_TARGET_PROPERTY_STATUS.tsv	cf36984605a6696c5221577a7bee6aa3d907577d7d29edd3307d20c80a145ede	06_HARNESS_FREEZE_CANDIDATE/PBCODEC_CV1_TARGET_PROPERTY_STATUS.tsv	experiments/poly-bytes-codec/campaign-closure/harness-freeze/PBCODEC_CV1_TARGET_PROPERTY_STATUS.tsv
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/SHA256_MANIFEST.txt	2086c8560d46aabadd22fdfdb9b376affc893e0620e7633a3e1e15871d70ca45	06_HARNESS_FREEZE_CANDIDATE/SHA256_MANIFEST.txt	experiments/poly-bytes-codec/campaign-closure/harness-freeze/SHA256_MANIFEST.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/SHA256_MANIFEST.txt.self.sha256	de449d127d93edbbfe8df877f2933dd2df8213c6f7205a8170f99a4709c90ca8	06_HARNESS_FREEZE_CANDIDATE/SHA256_MANIFEST.txt.self.sha256	experiments/poly-bytes-codec/campaign-closure/harness-freeze/SHA256_MANIFEST.txt.self.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/NV/goto_binary.sha256	db8f6877dbf2e9ec36489ab6007026cf985d3d8692b9376754c4365dee222c56	03_goto_binding_repaired/NV/goto_binary.sha256	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/goto_binary.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/NV/harness_public_call_order.txt	f4fb7acba556e99c7bf1bd76cca0ef427c05b0be43515befc88f8c21e11279d7	03_goto_binding_repaired/NV/harness_public_call_order.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/harness_public_call_order.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/NV/model_identity.txt	f3d3a8f4e12230c238be72e4618f2054b80ad544778118a2c8f966dccc293ff7	03_goto_binding_repaired/NV/model_identity.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/model_identity.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/NV/relevant_loops.txt	e6db1cc682fbc4052a2ee620ac34daeda1c1060f54d2bff8d6d3853be35ef11a	03_goto_binding_repaired/NV/relevant_loops.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/relevant_loops.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/NV/show_properties.txt	238f6b97ed7f335c7eae7f70d6a639631efbd3721f807e7bdeb0a30caf20e6cc	03_goto_binding_repaired/NV/show_properties.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/show_properties.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/NV/target_properties.txt	56e077bd2815a935c25eed60cddadc5b574ee35c64cd6a0c948547fc428c9c44	03_goto_binding_repaired/NV/target_properties.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/target_properties.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P1/goto_binary.sha256	261bb8a536a110cc541ed4d77b490fc5a4f654fd562b1438b9efc72cdb5d3153	03_goto_binding_repaired/P1/goto_binary.sha256	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/goto_binary.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P1/harness_public_call_order.txt	6458aa797f96566a029799dd30cc0e7999fc7aefb77c9c20c93e52cdd56360c2	03_goto_binding_repaired/P1/harness_public_call_order.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/harness_public_call_order.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P1/model_identity.txt	cbfd4543bfa1cc1a889c3a6d96296e17dd17ef538da4268684a0ee5402f4a2d0	03_goto_binding_repaired/P1/model_identity.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/model_identity.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P1/relevant_loops.txt	fb3386360b2ce9cf3cf32388aa340a62e68542bc4c16c613feb0d4d7172636f6	03_goto_binding_repaired/P1/relevant_loops.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/relevant_loops.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P1/show_properties.txt	b123b0f8402dad442b37cf82a4512fb0ba6832426c211c6869cd8a6039a2eaf0	03_goto_binding_repaired/P1/show_properties.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/show_properties.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P1/target_properties.txt	6bafdc9f2301804e91a9ed425b9e498025310b17e2b3b99f7efaf22272453817	03_goto_binding_repaired/P1/target_properties.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/target_properties.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P2/goto_binary.sha256	862285023efe207886a88e40b3f8ad3bf1dbc2fe56578e0ac9c79cee00cfb307	03_goto_binding_repaired/P2/goto_binary.sha256	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/goto_binary.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P2/harness_public_call_order.txt	3b99a14ec758a7511dfd2e669e0caa29403487c01e57ce658a9f264c68b5436b	03_goto_binding_repaired/P2/harness_public_call_order.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/harness_public_call_order.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P2/model_identity.txt	15c20e9ccad10866b65a1cf78e63c0b057e4398d333bab3dd459bf1812452c69	03_goto_binding_repaired/P2/model_identity.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/model_identity.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P2/relevant_loops.txt	e38ce99fce5d0b2129cae31101ea151502216362854837b00575501ed40ca782	03_goto_binding_repaired/P2/relevant_loops.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/relevant_loops.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P2/show_properties.txt	9a35eadd75d89194d90f8b5a489fe31a704d1bb4a8b5d6b5160633bfd49ed133	03_goto_binding_repaired/P2/show_properties.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/show_properties.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/binding/P2/target_properties.txt	efc26048d3436f5f338d74e2060a0ee10ab73c3616d9a08f852475a4e983d22a	03_goto_binding_repaired/P2/target_properties.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/target_properties.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/identity/authoritative_source.sha256	13d325a740db811ab02d0a0cd1f3bd379598fdb214714638915f189119cdfbaf	04_identity/authoritative_source.sha256	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/authoritative_source.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/identity/candidate_artifacts_repaired.sha256	ca2624fecd43c066427b91a73bb25559d81bb58eec9271c9e943228fc3b23b45	04_identity/candidate_artifacts_repaired.sha256	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/candidate_artifacts_repaired.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/FULL_XML_RESULTS.sha256	2518ccea173f4f624393d2dacff32402fa7aa0e5187d186ee842aca8d44d112c	06_HARNESS_FREEZE_CANDIDATE/results/FULL_XML_RESULTS.sha256	experiments/poly-bytes-codec/campaign-closure/harness-freeze/results/FULL_XML_RESULTS.sha256
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/NV/cbmc_command.shellescaped.txt	b630e1771b3c1b9f99f802011d2f8ff7ca33282658dff00cdb8adf555b900fd0	05_direct_cbmc_results/NV/cbmc_command.shellescaped.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/cbmc_command.shellescaped.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/NV/cbmc_exit_code.txt	917df3320d778ddbaa5c5c7742bc4046bf803c36ed2b050f30844ed206783469	07_INTEGRATION_MUTATION_HARDENING/results/M1/cbmc_exit_code.txt	experiments/poly-bytes-codec/V01-bridge-mutation-sensitivity/results/M1/cbmc_exit_code.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/NV/execution_status.txt	3d631f37ad5e5f889f2bca4eaee494947975c1d0dbf843aaa94991bc872548b6	05_direct_cbmc_results/NV/execution_status.txt	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/execution_status.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/P1/cbmc_command.shellescaped.txt	4179ce8a1222abbd1b6cd96224503feeeabc5ff378b4c9191ada85f1f6ad45d8	05_direct_cbmc_results/P1/cbmc_command.shellescaped.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/cbmc_command.shellescaped.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/P1/cbmc_exit_code.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	07_INTEGRATION_MUTATION_HARDENING/build/M1/make.exit_code.txt	experiments/poly-bytes-codec/V01-bridge-mutation-sensitivity/build/M1/make.exit_code.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/P1/execution_status.txt	0eca7398c81f6be0cca4cce5f88f9d3307b94f054075b6d0e93e933b5f8321d5	05_direct_cbmc_results/P1/execution_status.txt	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/execution_status.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/P2/cbmc_command.shellescaped.txt	a939b73cbfbf14cf13ebf290e5ceec19a95c615800a5ba0c5ffc57fc12501d8c	05_direct_cbmc_results/P2/cbmc_command.shellescaped.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/cbmc_command.shellescaped.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/P2/cbmc_exit_code.txt	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	07_INTEGRATION_MUTATION_HARDENING/build/M1/make.exit_code.txt	experiments/poly-bytes-codec/V01-bridge-mutation-sensitivity/build/M1/make.exit_code.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/results/P2/execution_status.txt	efb5e3e342a403c3dcb71299dd5dbd2b1187c08a7ca6bdeadf6d5ecd4ecdf1d3	05_direct_cbmc_results/P2/execution_status.txt	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/execution_status.txt
08_AUTHORITATIVE_CLOSURE_CANDIDATE/evidence/06_HARNESS_FREEZE_CANDIDATE/verification_intent/PBCODEC_CV1_VERIFICATION_INTENT.md	befca621610706c9e9e59fae1a5cfb612f6e39868743905eeee6e51099ad9be6	00_verification_intent/PBCODEC_CV1_VERIFICATION_INTENT.md	experiments/poly-bytes-codec/00-campaign-setup/verification-intent/PBCODEC_CV1_VERIFICATION_INTENT.md
