original_path	decision	sha256	retained_destination	canonical_original_path	reason
02_build_results/NV/make.stdout.txt	RETAIN	276e143f38d274879ee81b0346a7be8ce9e737f487fadbec9d3e6299b5e7b4e0	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/NV/make.stdout.txt	02_build_results/NV/make.stdout.txt	primary campaign record or context-distinct evidence
02_build_results/P1/cprover_statuses.txt	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P1/cprover_statuses.txt	02_build_results/P1/cprover_statuses.txt	primary campaign record or context-distinct evidence
02_build_results/P1/make.exit_code.txt	RETAIN	53c234e5e8472b6ac51c1ae1cab3fe06fad053beb8ebfd8977b010655bfdd3c3	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P1/make.exit_code.txt	02_build_results/P1/make.exit_code.txt	primary campaign record or context-distinct evidence
02_build_results/P1/make.stderr.txt	RETAIN	112624bfe7e4300e3fc89f7d2cc27198a67bbd3edca9d6bca3f98de63664b4ec	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P1/make.stderr.txt	02_build_results/P1/make.stderr.txt	primary campaign record or context-distinct evidence
02_build_results/P1/make.stdout.txt	RETAIN	c6fa4f434ced5a611b03acebd8a4f4ab1ca06648b730f25cc78ac708dde597eb	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P1/make.stdout.txt	02_build_results/P1/make.stdout.txt	primary campaign record or context-distinct evidence
02_build_results/P2/cprover_statuses.txt	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P2/cprover_statuses.txt	02_build_results/P2/cprover_statuses.txt	primary campaign record or context-distinct evidence
02_build_results/P2/make.exit_code.txt	RETAIN	53c234e5e8472b6ac51c1ae1cab3fe06fad053beb8ebfd8977b010655bfdd3c3	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P2/make.exit_code.txt	02_build_results/P2/make.exit_code.txt	primary campaign record or context-distinct evidence
02_build_results/P2/make.stderr.txt	RETAIN	112624bfe7e4300e3fc89f7d2cc27198a67bbd3edca9d6bca3f98de63664b4ec	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P2/make.stderr.txt	02_build_results/P2/make.stderr.txt	primary campaign record or context-distinct evidence
02_build_results/P2/make.stdout.txt	RETAIN	1399a2018b78c56bd5edcd2479992a1921977f0c4137000cbfc9a12880ab099f	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/build-results/P2/make.stdout.txt	02_build_results/P2/make.stdout.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/NV/make_default.stderr.txt	RETAIN	18e0bcc1470578d7cda60f9207f7e41a24e30caf2ca3c5d0df72b72ed227b6e0	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/NV/make_default.stderr.txt	02_build_results_repaired/NV/make_default.stderr.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/NV/make_default.stdout.txt	RETAIN	80a22b0e2c8714af87a1b4b5929e285829b6abfbbc6d045a2ec3db7d5460eb15	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/NV/make_default.stdout.txt	02_build_results_repaired/NV/make_default.stdout.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/NV/make_goto.stderr.txt	RETAIN	c8651a5cb36d9a3f466ba5a6aabe53913c3b90ca434a28924579d48a610c104f	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/NV/make_goto.stderr.txt	02_build_results_repaired/NV/make_goto.stderr.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/NV/make_goto.stdout.txt	RETAIN	276e143f38d274879ee81b0346a7be8ce9e737f487fadbec9d3e6299b5e7b4e0	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/NV/make_goto.stdout.txt	02_build_results_repaired/NV/make_goto.stdout.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P1/make_default.stderr.txt	RETAIN	18e0bcc1470578d7cda60f9207f7e41a24e30caf2ca3c5d0df72b72ed227b6e0	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P1/make_default.stderr.txt	02_build_results_repaired/P1/make_default.stderr.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P1/make_default.stdout.txt	RETAIN	b2cc42f2f80b411e66246fd893ae90319036b7688bd35d9bf724c0e1efdb265d	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P1/make_default.stdout.txt	02_build_results_repaired/P1/make_default.stdout.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P1/make_goto.stderr.txt	RETAIN	e26fff5e748b401b1e9e3109c6bb324e5d77161b0ff543268130f32d1954a25c	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P1/make_goto.stderr.txt	02_build_results_repaired/P1/make_goto.stderr.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P1/make_goto.stdout.txt	RETAIN	c6fa4f434ced5a611b03acebd8a4f4ab1ca06648b730f25cc78ac708dde597eb	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P1/make_goto.stdout.txt	02_build_results_repaired/P1/make_goto.stdout.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P2/make_default.stderr.txt	RETAIN	18e0bcc1470578d7cda60f9207f7e41a24e30caf2ca3c5d0df72b72ed227b6e0	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P2/make_default.stderr.txt	02_build_results_repaired/P2/make_default.stderr.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P2/make_default.stdout.txt	RETAIN	0ba66efe41b633fb9126258f41d35b27a16efa59bae9104eb572a0edf9f9294a	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P2/make_default.stdout.txt	02_build_results_repaired/P2/make_default.stdout.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P2/make_goto.stderr.txt	RETAIN	64a6462c6674ab3f651d1dac24f7b377c248bf61137ea409ddec73075df9d062	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P2/make_goto.stderr.txt	02_build_results_repaired/P2/make_goto.stderr.txt	primary campaign record or context-distinct evidence
02_build_results_repaired/P2/make_goto.stdout.txt	RETAIN	1399a2018b78c56bd5edcd2479992a1921977f0c4137000cbfc9a12880ab099f	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/build-results/P2/make_goto.stdout.txt	02_build_results_repaired/P2/make_goto.stdout.txt	primary campaign record or context-distinct evidence
03_goto_binding/NV/model_identity.txt	RETAIN	10e44ffb9a7f1a4d737d75db77e6ab752d4ea0d4d7bbacbe2a47ead9f5a97635	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/goto-binding/NV/model_identity.txt	03_goto_binding/NV/model_identity.txt	primary campaign record or context-distinct evidence
03_goto_binding/P1/model_identity.txt	RETAIN	9dcc64f41a905e628b229917b3813833eb38cafb1e8612838deea7a6f5c3feea	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/goto-binding/P1/model_identity.txt	03_goto_binding/P1/model_identity.txt	primary campaign record or context-distinct evidence
03_goto_binding/P2/model_identity.txt	RETAIN	fdb5edf62e693ee7b91a01d03188f588741f9daf95dc5c5531958daa57542b65	experiments/poly-bytes-codec/00-campaign-setup/initial-build-attempt/goto-binding/P2/model_identity.txt	03_goto_binding/P2/model_identity.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/goto_binary.sha256	RETAIN	db8f6877dbf2e9ec36489ab6007026cf985d3d8692b9376754c4365dee222c56	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/goto_binary.sha256	03_goto_binding_repaired/NV/goto_binary.sha256	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/harness_goto_body.txt	RETAIN	00b006437134ce876bd19f5d64041d70b2cedf5103da25422e95c746b6b7e24f	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/harness_goto_body.txt	03_goto_binding_repaired/NV/harness_goto_body.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/harness_public_call_order.txt	RETAIN	f4fb7acba556e99c7bf1bd76cca0ef427c05b0be43515befc88f8c21e11279d7	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/harness_public_call_order.txt	03_goto_binding_repaired/NV/harness_public_call_order.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/model_identity.txt	RETAIN	f3d3a8f4e12230c238be72e4618f2054b80ad544778118a2c8f966dccc293ff7	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/model_identity.txt	03_goto_binding_repaired/NV/model_identity.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/relevant_loops.txt	RETAIN	e6db1cc682fbc4052a2ee620ac34daeda1c1060f54d2bff8d6d3853be35ef11a	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/relevant_loops.txt	03_goto_binding_repaired/NV/relevant_loops.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/show_goto_functions.txt	RETAIN	9022ae199353af4044dba5482cc5d6eef69120a2d7c72dd3bd17f9fa3593872b	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/show_goto_functions.txt	03_goto_binding_repaired/NV/show_goto_functions.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/show_loops.txt	RETAIN	0d9405143c1b8954fc43265d13ef5928fc4e79b3cdd00b1e7acdca4310afa5e6	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/show_loops.txt	03_goto_binding_repaired/NV/show_loops.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/show_properties.txt	RETAIN	238f6b97ed7f335c7eae7f70d6a639631efbd3721f807e7bdeb0a30caf20e6cc	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/show_properties.txt	03_goto_binding_repaired/NV/show_properties.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/NV/target_properties.txt	RETAIN	56e077bd2815a935c25eed60cddadc5b574ee35c64cd6a0c948547fc428c9c44	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/goto-binding/target_properties.txt	03_goto_binding_repaired/NV/target_properties.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/goto_binary.sha256	RETAIN	261bb8a536a110cc541ed4d77b490fc5a4f654fd562b1438b9efc72cdb5d3153	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/goto_binary.sha256	03_goto_binding_repaired/P1/goto_binary.sha256	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/harness_goto_body.txt	RETAIN	84dff6169375e73d4b5672abde770610c69cda3484b4b1be764d25c366aeef85	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/harness_goto_body.txt	03_goto_binding_repaired/P1/harness_goto_body.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/harness_public_call_order.txt	RETAIN	6458aa797f96566a029799dd30cc0e7999fc7aefb77c9c20c93e52cdd56360c2	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/harness_public_call_order.txt	03_goto_binding_repaired/P1/harness_public_call_order.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/model_identity.txt	RETAIN	cbfd4543bfa1cc1a889c3a6d96296e17dd17ef538da4268684a0ee5402f4a2d0	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/model_identity.txt	03_goto_binding_repaired/P1/model_identity.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/relevant_loops.txt	RETAIN	fb3386360b2ce9cf3cf32388aa340a62e68542bc4c16c613feb0d4d7172636f6	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/relevant_loops.txt	03_goto_binding_repaired/P1/relevant_loops.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/show_goto_functions.txt	RETAIN	9902dfce76da217f9c9f8ca1c4e638ccb6afc2387caf4651e6a583361672df4f	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/show_goto_functions.txt	03_goto_binding_repaired/P1/show_goto_functions.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/show_loops.txt	RETAIN	400b2f77b4de754ba30db0301c23d81e1dffa2337bd84e53654efdc1a8495600	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/show_loops.txt	03_goto_binding_repaired/P1/show_loops.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/show_properties.txt	RETAIN	b123b0f8402dad442b37cf82a4512fb0ba6832426c211c6869cd8a6039a2eaf0	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/show_properties.txt	03_goto_binding_repaired/P1/show_properties.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P1/target_properties.txt	RETAIN	6bafdc9f2301804e91a9ed425b9e498025310b17e2b3b99f7efaf22272453817	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/goto-binding/target_properties.txt	03_goto_binding_repaired/P1/target_properties.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/goto_binary.sha256	RETAIN	862285023efe207886a88e40b3f8ad3bf1dbc2fe56578e0ac9c79cee00cfb307	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/goto_binary.sha256	03_goto_binding_repaired/P2/goto_binary.sha256	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/harness_goto_body.txt	RETAIN	edf631d64cc10f089892aeae794e84a89b291cde24b621889e81f63ba3f14bf9	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/harness_goto_body.txt	03_goto_binding_repaired/P2/harness_goto_body.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/harness_public_call_order.txt	RETAIN	3b99a14ec758a7511dfd2e669e0caa29403487c01e57ce658a9f264c68b5436b	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/harness_public_call_order.txt	03_goto_binding_repaired/P2/harness_public_call_order.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/model_identity.txt	RETAIN	15c20e9ccad10866b65a1cf78e63c0b057e4398d333bab3dd459bf1812452c69	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/model_identity.txt	03_goto_binding_repaired/P2/model_identity.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/relevant_loops.txt	RETAIN	e38ce99fce5d0b2129cae31101ea151502216362854837b00575501ed40ca782	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/relevant_loops.txt	03_goto_binding_repaired/P2/relevant_loops.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/show_goto_functions.txt	RETAIN	9c8362fff464dd0d7f0c797f2673daae094f958895c3fc07da3d7120938df724	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/show_goto_functions.txt	03_goto_binding_repaired/P2/show_goto_functions.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/show_loops.txt	RETAIN	0f07bd1f9b88c2a287904d56ae3bc351b0ce58bc0a8820a98be7a4808e822979	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/show_loops.txt	03_goto_binding_repaired/P2/show_loops.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/show_properties.txt	RETAIN	9a35eadd75d89194d90f8b5a489fe31a704d1bb4a8b5d6b5160633bfd49ed133	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/show_properties.txt	03_goto_binding_repaired/P2/show_properties.txt	primary campaign record or context-distinct evidence
03_goto_binding_repaired/P2/target_properties.txt	RETAIN	efc26048d3436f5f338d74e2060a0ee10ab73c3616d9a08f852475a4e983d22a	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/goto-binding/target_properties.txt	03_goto_binding_repaired/P2/target_properties.txt	primary campaign record or context-distinct evidence
04_identity/authoritative_source.sha256	RETAIN	13d325a740db811ab02d0a0cd1f3bd379598fdb214714638915f189119cdfbaf	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/authoritative_source.sha256	04_identity/authoritative_source.sha256	primary campaign record or context-distinct evidence
04_identity/candidate_artifacts.sha256	RETAIN	0dad8cb9e256ba717250231811b0e78a27e96d47f685fd78da1f707c4ac83a39	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/candidate_artifacts.sha256	04_identity/candidate_artifacts.sha256	primary campaign record or context-distinct evidence
04_identity/candidate_artifacts_repaired.sha256	RETAIN	ca2624fecd43c066427b91a73bb25559d81bb58eec9271c9e943228fc3b23b45	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/candidate_artifacts_repaired.sha256	04_identity/candidate_artifacts_repaired.sha256	primary campaign record or context-distinct evidence
04_identity/production_source_after_build.diff	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/production_source_after_build.diff	04_identity/production_source_after_build.diff	primary campaign record or context-distinct evidence
04_identity/production_source_after_repaired_execution.diff	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/production_source_after_repaired_execution.diff	04_identity/production_source_after_repaired_execution.diff	primary campaign record or context-distinct evidence
04_identity/production_source_before_build.diff	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/production_source_before_build.diff	04_identity/production_source_before_build.diff	primary campaign record or context-distinct evidence
04_identity/production_source_before_repaired_build.diff	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/production_source_before_repaired_build.diff	04_identity/production_source_before_repaired_build.diff	primary campaign record or context-distinct evidence
04_identity/worktree_status.txt	RETAIN	c5964a69fbe33bcf6e12162f9027ac7aaff5ab68566a0ac92658f12a7520adeb	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/worktree_status.txt	04_identity/worktree_status.txt	primary campaign record or context-distinct evidence
04_identity/worktree_status_after_repair.txt	RETAIN	c5964a69fbe33bcf6e12162f9027ac7aaff5ab68566a0ac92658f12a7520adeb	experiments/poly-bytes-codec/00-campaign-setup/repaired-build-and-binding/source-and-artifact-identity/worktree_status_after_repair.txt	04_identity/worktree_status_after_repair.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/NV/cbmc_command.shellescaped.txt	RETAIN	b630e1771b3c1b9f99f802011d2f8ff7ca33282658dff00cdb8adf555b900fd0	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/cbmc_command.shellescaped.txt	05_direct_cbmc_results/NV/cbmc_command.shellescaped.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/NV/cbmc_exit_code.txt	RETAIN	917df3320d778ddbaa5c5c7742bc4046bf803c36ed2b050f30844ed206783469	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/cbmc_exit_code.txt	05_direct_cbmc_results/NV/cbmc_exit_code.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/NV/cbmc_result.xml	RETAIN	bd14d093ba03dbdce675e523974140712e66819bf1c532edfa895628c59b4467	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/cbmc_result.xml	05_direct_cbmc_results/NV/cbmc_result.xml	primary campaign record or context-distinct evidence
05_direct_cbmc_results/NV/cbmc_stderr.txt	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/cbmc_stderr.txt	05_direct_cbmc_results/NV/cbmc_stderr.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/NV/execution_status.txt	RETAIN	3d631f37ad5e5f889f2bca4eaee494947975c1d0dbf843aaa94991bc872548b6	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/execution_status.txt	05_direct_cbmc_results/NV/execution_status.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/NV/target_result_extract.txt	RETAIN	e1b7d74fe615996b6e27f50c797ca0aa2d49ba888918f99d1c02f14605a91027	experiments/poly-bytes-codec/NV01-composition-endpoint-reachability/cbmc-result/target_result_extract.txt	05_direct_cbmc_results/NV/target_result_extract.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P1/cbmc_command.shellescaped.txt	RETAIN	4179ce8a1222abbd1b6cd96224503feeeabc5ff378b4c9191ada85f1f6ad45d8	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/cbmc_command.shellescaped.txt	05_direct_cbmc_results/P1/cbmc_command.shellescaped.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P1/cbmc_exit_code.txt	RETAIN	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/cbmc_exit_code.txt	05_direct_cbmc_results/P1/cbmc_exit_code.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P1/cbmc_result.xml	RETAIN	4db167df872e139471c6e25a51e054f9e89f6198335fae48627beb59a5d119e0	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/cbmc_result.xml	05_direct_cbmc_results/P1/cbmc_result.xml	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P1/cbmc_stderr.txt	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/cbmc_stderr.txt	05_direct_cbmc_results/P1/cbmc_stderr.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P1/execution_status.txt	RETAIN	0eca7398c81f6be0cca4cce5f88f9d3307b94f054075b6d0e93e933b5f8321d5	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/execution_status.txt	05_direct_cbmc_results/P1/execution_status.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P1/target_result_extract.txt	RETAIN	f71a7e33bc7003b9c28217beff33b06498c22563058166bd9391722985e6bef8	experiments/poly-bytes-codec/T01-canonical-polynomial-encode-decode/cbmc-result/target_result_extract.txt	05_direct_cbmc_results/P1/target_result_extract.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P2/cbmc_command.shellescaped.txt	RETAIN	a939b73cbfbf14cf13ebf290e5ceec19a95c615800a5ba0c5ffc57fc12501d8c	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/cbmc_command.shellescaped.txt	05_direct_cbmc_results/P2/cbmc_command.shellescaped.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P2/cbmc_exit_code.txt	RETAIN	9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/cbmc_exit_code.txt	05_direct_cbmc_results/P2/cbmc_exit_code.txt	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P2/cbmc_result.xml	RETAIN	4ff977fd8098c587862f6a33cba40f58cd644d5cecdd69625c7e840003fa2aec	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/cbmc_result.xml	05_direct_cbmc_results/P2/cbmc_result.xml	primary campaign record or context-distinct evidence
05_direct_cbmc_results/P2/cbmc_stderr.txt	RETAIN	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	experiments/poly-bytes-codec/T02-canonical-bytes-decode-encode/cbmc-result/cbmc_stderr.txt	05_direct_cbmc_results/P2/cbmc_stderr.txt	primary campaign record or context-distinct evidence
