property_id	status	description
mlk_ct_get_optblocker_i32.overflow.1	SUCCESS	arithmetic overflow on unsigned to signed type conversion in (int32_t)return_value_mlk_ct_get_optblocker_u64
mlk_ct_sel_int16.overflow.1	SUCCESS	arithmetic overflow on signed to unsigned type conversion in (uint16_t)((signed int)bu ^ (signed int)return_value_mlk_ct_cmask_nonzero_u16 & ((signed int)au ^ (signed int)bu))
mlk_poly_reduce_c.array_bounds.1	SUCCESS	array.coeffs dynamic object upper bound in r->coeffs[(signed long int)i]
mlk_poly_reduce_c.array_bounds.2	SUCCESS	array.coeffs dynamic object upper bound in r->coeffs[(signed long int)i]
mlk_poly_reduce_c.overflow.1	SUCCESS	arithmetic overflow on unsigned + in i + 1u
mlk_poly_reduce_c.pointer_dereference.1	SUCCESS	dereference failure: pointer NULL in r->coeffs
mlk_poly_reduce_c.pointer_dereference.10	SUCCESS	dereference failure: dead object in r->coeffs
mlk_poly_reduce_c.pointer_dereference.11	SUCCESS	dereference failure: pointer outside object bounds in r->coeffs
mlk_poly_reduce_c.pointer_dereference.12	SUCCESS	dereference failure: invalid integer address in r->coeffs
mlk_poly_reduce_c.pointer_dereference.2	SUCCESS	dereference failure: pointer invalid in r->coeffs
mlk_poly_reduce_c.pointer_dereference.3	SUCCESS	dereference failure: deallocated dynamic object in r->coeffs
mlk_poly_reduce_c.pointer_dereference.4	SUCCESS	dereference failure: dead object in r->coeffs
mlk_poly_reduce_c.pointer_dereference.5	SUCCESS	dereference failure: pointer outside object bounds in r->coeffs
mlk_poly_reduce_c.pointer_dereference.6	SUCCESS	dereference failure: invalid integer address in r->coeffs
mlk_poly_reduce_c.pointer_dereference.7	SUCCESS	dereference failure: pointer NULL in r->coeffs
mlk_poly_reduce_c.pointer_dereference.8	SUCCESS	dereference failure: pointer invalid in r->coeffs
mlk_poly_reduce_c.pointer_dereference.9	SUCCESS	dereference failure: deallocated dynamic object in r->coeffs
mlk_scalar_signed_to_unsigned_q.overflow.1	SUCCESS	arithmetic overflow on signed + in (signed int)c + 3329
mlk_scalar_signed_to_unsigned_q.overflow.2	SUCCESS	arithmetic overflow on signed type conversion in (int16_t)((signed int)c + 3329)
mlk_vc_sr1_poly_sub.array_bounds.1	SUCCESS	array.coeffs dynamic object upper bound in r->coeffs[(signed long int)i]
mlk_vc_sr1_poly_sub.array_bounds.2	SUCCESS	array.coeffs dynamic object upper bound in b->coeffs[(signed long int)i]
mlk_vc_sr1_poly_sub.overflow.1	SUCCESS	arithmetic overflow on signed - in (signed int)r->coeffs[(signed long int)i] - (signed int)b->coeffs[(signed long int)i]
mlk_vc_sr1_poly_sub.overflow.2	SUCCESS	arithmetic overflow on signed type conversion in (int16_t)((signed int)r->coeffs[(signed long int)i] - (signed int)b->coeffs[(signed long int)i])
mlk_vc_sr1_poly_sub.overflow.3	SUCCESS	arithmetic overflow on unsigned + in i + 1u
mlk_vc_sr1_poly_sub.pointer_dereference.1	SUCCESS	dereference failure: pointer NULL in r->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.10	SUCCESS	dereference failure: dead object in b->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.11	SUCCESS	dereference failure: pointer outside object bounds in b->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.12	SUCCESS	dereference failure: invalid integer address in b->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.2	SUCCESS	dereference failure: pointer invalid in r->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.3	SUCCESS	dereference failure: deallocated dynamic object in r->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.4	SUCCESS	dereference failure: dead object in r->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.5	SUCCESS	dereference failure: pointer outside object bounds in r->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.6	SUCCESS	dereference failure: invalid integer address in r->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.7	SUCCESS	dereference failure: pointer NULL in b->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.8	SUCCESS	dereference failure: pointer invalid in b->coeffs
mlk_vc_sr1_poly_sub.pointer_dereference.9	SUCCESS	dereference failure: deallocated dynamic object in b->coeffs
sub_t1_check_machine_model.assertion.1	SUCCESS	SUB_T1_MODEL: CHAR_BIT must be 8
sub_t1_check_machine_model.assertion.2	SUCCESS	SUB_T1_MODEL: short width must be 16
sub_t1_check_machine_model.assertion.3	SUCCESS	SUB_T1_MODEL: int width must be 32
sub_t1_check_machine_model.assertion.4	SUCCESS	SUB_T1_MODEL: int16_t width must be 16
sub_t1_check_machine_model.assertion.5	SUCCESS	SUB_T1_MODEL: int32_t width must be 32
sub_t1_check_machine_model.assertion.6	SUCCESS	SUB_T1_MODEL: pointer width must be 64
sub_t1_check_machine_model.assertion.7	SUCCESS	SUB_T1_MODEL: negative signed right shift must be arithmetic
sub_t1_check_machine_model.assertion.8	SUCCESS	SUB_T1_MODEL: negative odd right shift must preserve sign
