omitted_original_path	canonical_original_path	retained_destination	size_bytes	sha256	mirror_identity
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_fail_closed_zeroize.h	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_fail_closed_zeroize.h	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_fail_closed_zeroize.h	328	643493b138edd833c3f2f547e215836923523241f6ae260aaace9d929166f0c4	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_fail_closed_zeroize.h""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_harness_common.h	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_harness_common.h	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_harness_common.h	2071	36ab8d9071b1a51b591ea3f46f7b72039e8ed92d28950ba1040458af1575526a	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_harness_common.h""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_optblocker_zero.c	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_optblocker_zero.c	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_optblocker_zero.c	260	3338ed52257c20fe3edb62bf0a4ceb16680c20332b04d19e1a2fdbf6dc3aefb2	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_optblocker_zero.c""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_verify_pragma_scope.h	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_verify_pragma_scope.h	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_verify_pragma_scope.h	292	4c74db3813ba322eb2abecae49187014dbc8ae078557313d2dee7148ecc47acf	"[""t6-authoritative-tree"", ""03_HARNESS_FREEZE/frozen_harness_family_v1/support/sub00r_b6_verify_pragma_scope.h""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_ARTIFACT_MANIFEST.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_ARTIFACT_MANIFEST.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_ARTIFACT_MANIFEST.sha256	10906	8f8cd78fcd4fe0b89bc8642d8164d49e2e4fa9cdc94365eaec28b57cbcaac9c3	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_ARTIFACT_MANIFEST.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_EXECUTION_INPUT_FREEZE.md	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_EXECUTION_INPUT_FREEZE.md	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_EXECUTION_INPUT_FREEZE.md	1231	e514e0fc99bd52b3c8d2f9f2be7305239d22fb7869edd60aa69b894d1b2fc0ce	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_EXECUTION_INPUT_FREEZE.md""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_PREFLIGHT_SUMMARY.txt	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_PREFLIGHT_SUMMARY.txt	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_PREFLIGHT_SUMMARY.txt	2623	c238e3c11cf02d730da7f261bb8d79c9b31f0b1fd73f2da5df09819f614b379a	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/SUB_T6_B6_4_PREFLIGHT_SUMMARY.txt""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto	53398	85f6d0b545207959143f21a493c8567bc698ad2b940ff25af953827b33633742	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto.sha256	249	427b0384734edfa578a9e43824b59b2c0407bba1c922cdbbac0cb2c6a4dc095f	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_exactness.goto.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto	55666	b8813ddca9fba49261f8cfcfb8151d5bf991d58eaaaa31ae4e183ae4545b4503	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto.sha256	245	6dee4d671f2911b123b8d94ac5b5f5953c7e50c06fa51a780d290e94dcc79d2e	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_frame.goto.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto	55380	f0c4fe559b030aa1c65712987e1186c859abae3967490a0a6c27f91aa1929510	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto.sha256	252	d77f2bb9136f738f374914945c688ccb9f224effb7f94c9e312fdb0b2567cbf0	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/callsite_precondition.goto.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto	54844	345337b29379e1e14203ee61c99360291e842d4dca5a5cf7e9383a65ab29a2bb	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto.sha256	249	d6de031562f8a9e86915f8fd52738bd4fd479c516c5526f11778a2de5c5f77c3	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/sub_reduce_handoff.goto.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto	92302	6bbf0c4b128941cf9042b6ee42dd20302393780e0e1d8ffe54c4c79600f72b3b	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto.sha256	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto.sha256	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto.sha256	249	faa741bfbacd70661b9a4f47ef76c8ad5f01da5a341958460a611f9d81ddb372	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/build/tomsg_precondition.goto.sha256""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_goto_build_command.txt	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_goto_build_command.txt	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_goto_build_command.txt	1536	a1f36d75e179fb07e660b2c6615383f1272a60b672ffd9e5fae602d871e8bf74	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_goto_build_command.txt""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_show_properties_command.txt	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_show_properties_command.txt	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_show_properties_command.txt	555	2bd6f1726a6d33da4c4dbdd8d3326f0135c1283d06043bb5313b217ed3977570	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_exactness_show_properties_command.txt""]"
EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_frame_goto_build_command.txt	EXPIREMENTS/MLK_POLY_SUB/SUB00A_d9613cf60de3/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_frame_goto_build_command.txt	experiments/poly-sub/T06-callsite-integration/raw-evidence/SUB00R_BATCH6_T6_CALLSITE_INTEGRATION/04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_frame_goto_build_command.txt	1528	581a324fcccb2bc52df632dffcf056af9ed7097d3556d06ab3a9af9fda3d7538	"[""t6-authoritative-tree"", ""04_GOTO_PREFLIGHT/B6_4_GOTO_PREFLIGHT_MLKEM768/commands/callsite_frame_goto_build_command.txt""]"
