property_record_id,case_id,detail_file,status,principal_role,appendix_projection,historical_id,evidence_locator_id,rendering_basis
PR-C01-029,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 19, “Caller-level component-wise addition”.",PA05A-P1,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-030,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 20, “Caller-level source preservation”.",PA05A-P2,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-031,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,ASSUMED_FROM_DOCUMENTED_GUARANTEE,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA05B-G1,LOC-C01-UA,conservative rendered formalization.
PR-C01-032,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,ASSUMED_FROM_DOCUMENTED_GUARANTEE,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA05B-G2,LOC-C01-UA,conservative rendered formalization.
PR-C01-033,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 21, “Producer-bounded representability”.",PA05B-P1,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-034,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 22, “Producer-bounded exact addition”.",PA05B-P2,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-035,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 23, “Producer-object frame preservation”.",PA05B-P3,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-036,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 24, “Derived producer-bound interval”.",PA05B-P4,LOC-C01-UA,verbatim structural/logical relation rendered without inventing an equation.
PR-C01-037,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DIRECT_SEMANTIC_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 25, “Producer-bounded modulo refinement”.",PA05B-P5,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-038,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,ASSUMED_FROM_DOCUMENTED_GUARANTEE,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA05C-G1,LOC-C01-UA,conservative rendered formalization.
PR-C01-039,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,ASSUMED_FROM_DOCUMENTED_GUARANTEE,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA05C-G2,LOC-C01-UA,conservative rendered formalization.
PR-C01-040,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_BY_CONSTRUCTION,EVIDENCE_OR_DOMAIN_CONTROL,Not enumerated as a supported Appendix-1 property by design; retained only in the complete evidence layer.,PA05C-M1,LOC-C01-UA,conservative rendered formalization.
PR-C01-041,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 26, “First-stage sequential representability”.",PA05C-P1,LOC-C01-UA,conservative rendered formalization.
PR-C01-042,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 27, “Cumulative sequential representability”.",PA05C-P2,LOC-C01-UA,conservative rendered formalization.
PR-C01-043,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 28, “Sequential intermediate-state relation”.",PA05C-P3,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-044,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 29, “Sequential final-state relation”.",PA05C-P4,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-045,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 30, “First sequential source-frame relation”.",PA05C-P5,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-046,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 31, “Second sequential source-frame relation”.",PA05C-P6,LOC-C01-UA,direct rendering of ledger relation.
PR-C01-047,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 32, “Cumulative range under the registered caller bounds”.",PA05C-P7,LOC-C01-UA,verbatim structural/logical relation rendered without inventing an equation.
PR-C01-048,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED,DIRECT_SEMANTIC_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 33, “Cumulative modulo relation”.",PA05C-P8,LOC-C01-UA,appendix-ledger audited equation.
PR-C01-049,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_WITH_PARTIAL_PRESERVATION,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 34, “Cross-parameter replication of the polynomial-vector caller”. The same preservation qualification is also disclosed in Appendix 2.",PA-06A,LOC-C01-UA,conservative rendered formalization.
PR-C01-050,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_WITH_PARTIAL_PRESERVATION,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 35, “Cross-parameter replication of the producer-bounded addition”. The same preservation qualification is also disclosed in Appendix 2.",PA-06B,LOC-C01-UA,conservative rendered formalization.
PR-C01-051,1,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_01_POLYNOMIAL_ADDITION.md,SUPPORTED_WITH_PARTIAL_PRESERVATION,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 1: Polynomial Addition: mlk_poly_add → item 36, “Cross-parameter replication of the sequential-addition obligation”. The same preservation qualification is also disclosed in Appendix 2.",PA-06C,LOC-C01-UA,conservative rendered formalization.
PR-C02-001,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 1, “Canonical normalisation of subtraction”.",SUB-T1.P1,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-002,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 2, “Normalised output range”.",SUB-T1.P2,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-003,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 3, “Input-frame preservation”.",SUB-T1.P3,LOC-C02-UA,conservative rendered formalization.
PR-C02-004,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 4, “Normalisation invariance”.",SUB-T2.P1,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-005,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,RELATIONAL_OR_STRUCTURAL_STRENGTHENING,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 5, “Right-cancellation after subtraction”.",SUB-T3A,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-006,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,RELATIONAL_OR_STRUCTURAL_STRENGTHENING,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 6, “Right-cancellation after addition”.",SUB-T3B,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-007,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,RELATIONAL_OR_STRUCTURAL_STRENGTHENING,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 7, “Normalised cancellation”.",SUB-T3C,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-008,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 8, “Exact canonical-domain difference”.",SUB-T4.P1,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-009,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 9, “Exact-difference range”.",SUB-T4.P2,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-010,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,DOMAIN_RANGE_AND_REPRESENTATION_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 10, “Canonical-domain representability”.",SUB-T4.P3,LOC-C02-UA,conservative rendered formalization.
PR-C02-011,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 11, “Subtrahend-frame preservation”.",SUB-T4.P4,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-012,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 12, “Two-run snapshot and guard preservation”.",SUB-T5.1,LOC-C02-UA,conservative rendered formalization.
PR-C02-013,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 13, “Coefficient locality”.",SUB-T5.2,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-014,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 14, “Single-coordinate non-interference”.",SUB-T5.3,LOC-C02-UA,verbatim structural/logical relation rendered without inventing an equation.
PR-C02-015,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 15, “Exact differential locality at the changed coordinate”.",SUB-T5.4,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-016,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 16, “Determinism”.",SUB-T5.5,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-017,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 17, “Destination-frame restriction”.",SUB-T5.6,LOC-C02-UA,conservative rendered formalization.
PR-C02-018,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 18, “Caller-object validity and separation”.",SUB-T6.1,LOC-C02-UA,conservative rendered formalization.
PR-C02-019,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 19, “Caller-domain subtraction representability”.",SUB-T6.2,LOC-C02-UA,conservative rendered formalization.
PR-C02-020,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 20, “Caller-level exact subtraction”.",SUB-T6.3,LOC-C02-UA,direct rendering of ledger relation.
PR-C02-021,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,STATE_AND_FRAME_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 21, “Caller-frame preservation”.",SUB-T6.4,LOC-C02-UA,conservative rendered formalization.
PR-C02-022,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 22, “Subtraction followed by reduction”.",SUB-T6.5,LOC-C02-UA,appendix-ledger audited equation.
PR-C02-023,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 23, “Compatibility with subsequent tomsg domain”.",SUB-T6.6,LOC-C02-UA,conservative rendered formalization.
PR-C02-024,2,docs/thesis-evidence/03A_RENDERED_CATALOGUE_CASES/CASE_02_POLYNOMIAL_SUBTRACTION.md,SUPPORTED,COMPOSITION_AND_CALLER_SUPPORT,"Appendix 1 → Case 2: Polynomial Subtraction: mlk_poly_sub → item 24, “Bounded subtraction--reduction--message pipeline safety”.",SUB-T6.7,LOC-C02-UA,conservative rendered formalization.
