case_id,target_or_property_class,relevant_source_or_project,relationship_type,assurance_layer,similarity_or_overlap,important_difference,exact_target_property_match_status,permitted_conclusion,global_novelty_claim_permitted,review_scope,authoritative_thesis_home,thesis_reference_key,evidence_locator_id
11,mlk_poly_frombytes,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C11-UA
12,mlk_poly_tobytes <-> mlk_poly_frombytes (PBCODEC-CV1),NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C12-UA
13,mlk_kem_check_pk,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C13-UA
14,mlk_montgomery_reduce; candidate mlk_fqmul and mlk_poly_tomont_c families,NIST FIPS 203 (2024a),NORMATIVE_GROUNDING,Normative algorithm/mathematical and encoding requirements,"Grounds ML-KEM operations, domains and data formats relevant to the case.",FIPS 203 is not a proof that this C implementation or generated harness is correct.,NOT_APPLICABLE_STANDARD_IS_NOT_IMPLEMENTATION_PROOF,"The case is specification-grounded where applicable; implementation support comes from the recorded source-bound CBMC evidence, not from the standard alone.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,NIST FIPS 203 (2024a),LOC-C14-UA
1,mlk_poly_add,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C01-UA
2,mlk_poly_sub,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C02-UA
3,mlk_poly_sub -> mlk_poly_reduce (VC-SR1),PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C03-UA
4,mlk_poly_tomsg,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C04-UA
5,mlk_poly_frommsg,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C05-UA
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C06-UA
7,mlk_scalar_signed_to_unsigned_q,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C07-UA
8,mlk_barrett_reduce,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C08-UA
9,mlk_zeroize,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C09-UA
10,mlk_poly_tobytes,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C10-UA
11,mlk_poly_frombytes,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C11-UA
12,mlk_poly_tobytes <-> mlk_poly_frombytes (PBCODEC-CV1),PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C12-UA
13,mlk_kem_check_pk,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C13-UA
14,mlk_montgomery_reduce; candidate mlk_fqmul and mlk_poly_tomont_c families,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),NATIVE_ASSURANCE_CONTEXT,Production C contracts/CBMC plus selected low-level proof assurance,Shares the exact production repository and some target contracts/harness infrastructure.,Native artefacts support different or narrower property sets and different assurance layers; the case-specific distinction is recorded in matrix 04.,TARGET_LEVEL_BASELINE_AUDITED_SEPARATELY; EXACT_GENERATED_SUITE_NOT_ESTABLISHED_AS_IDENTICAL,"Report repository-relative generated artefact/property contribution, not absence of all prior assurance.",NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,PQ Code Package / mlkem-native assurance documentation (n.d.-a; n.d.-b),LOC-C14-UA
3,mlk_poly_sub -> mlk_poly_reduce (VC-SR1),Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C03-UA
4,mlk_poly_tomsg,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C04-UA
5,mlk_poly_frommsg,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C05-UA
6,mlk_poly_compress_d4_c and mlk_poly_decompress_d4_c,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C06-UA
7,mlk_scalar_signed_to_unsigned_q,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C07-UA
8,mlk_barrett_reduce,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C08-UA
10,mlk_poly_tobytes,Formosa Crypto and Almeida et al. (2023; 2024; 2025),RELATED_PROOF_ORIENTED_ASSURANCE,Jasmin/EasyCrypt specification-to-implementation and security-oriented proof chain,Covers ML-KEM/Kyber functional and representation reasoning in proof-oriented settings.,"Different implementation language/source, specifications, proof infrastructure and assurance boundary from local CBMC checks over mlkem-native C.",NOT_ESTABLISHED_AS_EXACT_TARGET_PROPERTY_MATCH,Use as assurance-layer comparison; do not claim the first formal proof of the underlying mathematics or operation.,NO,RELATIONSHIP MATRIX BASED ON THE THESIS LITERATURE CORPUS; NOT AN EXHAUSTIVE WORLDWIDE PRIOR-ART SEARCH,Chapter 5 for interpretation; Chapter 2 for assurance-layer background,Formosa Crypto and Almeida et al. (2023; 2024; 2025),LOC-C10-UA
