property_record_id,case_id,condition,target,historical_id,approved_property_name,property_class,source_revision,parameter_set,input_domain,assumptions_and_grounding,formal_relation,assertion_or_harness_mapping,result,target_reachability,assumption_feasibility,nonvacuity_evidence,mutation_status,strongest_bounded_conclusion,explicit_exclusion,evidence_locator_id,evidence_path_hint,evidence_completeness,archive_name_resolved,archive_sha256,archive_evidence_path,archive_entry_sha256,archive_resolution_status,archive_candidate_count,resolved_public_evidence_path,public_evidence_sha256,public_path_resolution_status,public_path_candidate_count
PR-C01-011,1,UNASSISTED,mlk_poly_add,PA-01.P7,Canonical-domain additive identity,Relational algebraic,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Canonical coefficient arrays a,b in [0,q-1]","Canonical ML-KEM coefficients 0 <= a[i],b[i] < q; valid separate objects; unchanged production body; complete registered unwinding.","add(a,0) = a",PA-01 V2 semantic assertion family,SUPPORTED,YES,YES,SUPPORTED,Selected PA-07 sensitivity evidence; complete PA-07 matrix only partially retained,Zero is an additive identity on the canonical input domain.,Not an unrestricted statement over invalid objects or changed builds.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 1/V2/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/harnesses/cleanroom_mlk_poly_add_fips_relational_harness_v2.c,307dce610586398ad3d7196790e28e9ee0656ee8b879741cfff81fd72b3a550e,RESOLVED_HASH_MATCH,11
PR-C01-012,1,UNASSISTED,mlk_poly_add,PA-02A.P1,Exact signed coefficient addition,Functional refinement,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,All int16_t coefficient pairs whose mathematical sum is int16_t-representable,"Valid, separately modelled objects unless an alias diagnostic explicitly states otherwise; unchanged production target; complete registered loop unwinding.",r[i] = int32(a[i]) + int32(b[i]),PA-02A exact-signed harness assertion family,SUPPORTED,YES,YES,SUPPORTED,PA-07 selected mutants; complete matrix partially retained,Exact coefficient-wise addition for the representable signed domain.,Not unrestricted arithmetic beyond int16_t representability; not whole-ML-KEM correctness.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02a_mlk_poly_add_exact_signed_contract_valid_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02a_mlk_poly_add_exact_signed_contract_valid_harness.c,62c787783c2b5e75014cbe975c35f72cb58b4d6fdf4a418defc1171eaa2498ec,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/historical-harnesses/pa02a_mlk_poly_add_exact_signed_contract_valid_harness.c,62c787783c2b5e75014cbe975c35f72cb58b4d6fdf4a418defc1171eaa2498ec,RESOLVED_HASH_MATCH,4
PR-C01-013,1,UNASSISTED,mlk_poly_add,PA-02B.P2,Modulo-q addition refinement,Modular refinement,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Representable signed coefficient sums,"Valid, separately modelled objects unless an alias diagnostic explicitly states otherwise; unchanged production target; complete registered loop unwinding.",canon_q(r[i]) = canon_q(a[i] + b[i]),PA-02B modulo-q harness; final raw verdict not retained,SUPPORTED_WITH_PARTIAL_PRESERVATION,YES,YES,SUPPORTED,Not fully retained,Production result has the expected residue modulo q under the accepted domain.,Not a canonical-output claim; final raw PA-02B verdict is a preservation gap.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02b_mlk_poly_add_modq_refinement_contract_valid_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02b_mlk_poly_add_modq_refinement_contract_valid_harness.c,99a90ed4b0971fdaeac55cc36273fcb626a090833662e2929f2ea31fb8cea055,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/historical-harnesses/pa02b_mlk_poly_add_modq_refinement_contract_valid_harness.c,99a90ed4b0971fdaeac55cc36273fcb626a090833662e2929f2ea31fb8cea055,RESOLVED_HASH_MATCH,4
PR-C01-014,1,UNASSISTED,mlk_poly_add,PA-02B.P3,Canonical-residue addition compatibility,Representation refinement,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Representable signed coefficient sums,"Valid, separately modelled objects unless an alias diagnostic explicitly states otherwise; unchanged production target; complete registered loop unwinding.",canon_q(r[i]) = canon_q(canon_q(a[i]) + canon_q(b[i])),PA-02B canonical-residue assertion family,SUPPORTED_WITH_PARTIAL_PRESERVATION,YES,YES,SUPPORTED,Not fully retained,Signed/non-canonical representatives refine to the expected ring-Z_q addition.,Does not assert r[i] itself is canonical.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02b_mlk_poly_add_modq_refinement_contract_valid_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02b_mlk_poly_add_modq_refinement_contract_valid_harness.c,99a90ed4b0971fdaeac55cc36273fcb626a090833662e2929f2ea31fb8cea055,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/historical-harnesses/pa02b_mlk_poly_add_modq_refinement_contract_valid_harness.c,99a90ed4b0971fdaeac55cc36273fcb626a090833662e2929f2ea31fb8cea055,RESOLVED_HASH_MATCH,4
PR-C01-015,1,UNASSISTED,mlk_poly_add,PA-02C.P4,Read-only input and guard preservation,Frame,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Representable signed coefficient sums,"Valid, separately modelled objects unless an alias diagnostic explicitly states otherwise; unchanged production target; complete registered loop unwinding.",a_after=a_before; b_after=b_before; registered guards unchanged,PA-02C frame harness,SUPPORTED,YES,YES,SUPPORTED,PROPERTY-DEPENDENT,The modelled read-only operands and guards are preserved.,Does not establish a universal footprint beyond modelled objects.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02c_mlk_poly_add_readonly_frame_contract_valid_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02c_mlk_poly_add_readonly_frame_contract_valid_harness.c,dd47663b305d3c0c30753940a545eb35d72137309a8182fa51fdaef4f184d319,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/historical-harnesses/pa02c_mlk_poly_add_readonly_frame_contract_valid_harness.c,dd47663b305d3c0c30753940a545eb35d72137309a8182fa51fdaef4f184d319,RESOLVED_HASH_MATCH,4
PR-C01-016,1,UNASSISTED,mlk_poly_add,PA-02D.P5,Commutativity of two production executions,Relational,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Representable signed coefficient sums for both executions,"Valid, separately modelled objects unless an alias diagnostic explicitly states otherwise; unchanged production target; complete registered loop unwinding.","add(a,b)[i] = add(b,a)[i]",PA-02D commutativity harness,SUPPORTED,YES,YES,SUPPORTED,PROPERTY-DEPENDENT,Production executions commute under the accepted domain.,Not evidence for aliasing calls outside the contract.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02d_mlk_poly_add_commutativity_contract_valid_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02d_mlk_poly_add_commutativity_contract_valid_harness.c,08569fdde0520c27c249af5d27fb2dddfc54c7bd7220855b5fa10a7a350e8746,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/historical-harnesses/pa02d_mlk_poly_add_commutativity_contract_valid_harness.c,08569fdde0520c27c249af5d27fb2dddfc54c7bd7220855b5fa10a7a350e8746,RESOLVED_HASH_MATCH,4
PR-C01-017,1,UNASSISTED,mlk_poly_add,PA-02E.P6,Additive identity,Algebraic relational,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,All int16_t coefficients in a; zero polynomial as second operand,"Valid, separately modelled objects unless an alias diagnostic explicitly states otherwise; unchanged production target; complete registered loop unwinding.","add(a,0)=a",PA-02E identity harness,SUPPORTED,YES,YES,SUPPORTED,PROPERTY-DEPENDENT,Zero is an additive identity for the production operation over the encoded signed domain.,Not a claim about normalization or arbitrary memory aliasing.,LOC-C01-UA,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02e_mlk_poly_add_additive_identity_full_signed_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA 2/SLICED VERIFICATION/pa02e_mlk_poly_add_additive_identity_full_signed_harness.c,b87e9748158b8b0a55182119fd9e32f7daa1b7ce8e7e4ed1a6d4c2dac2c4a291,RESOLVED,1,supplementary-evidence-reconciliation/consolidated-mlkem-cbmc-verification-harnesses-12-campaigns/poly_add_harness_set/historical-harnesses/pa02e_mlk_poly_add_additive_identity_full_signed_harness.c,b87e9748158b8b0a55182119fd9e32f7daa1b7ce8e7e4ed1a6d4c2dac2c4a291,RESOLVED_HASH_MATCH,4
PR-C01-018,1,UNASSISTED,mlk_poly_add,PA-03.N1,Unrestricted signed exact-addition claim,Meaningful negative,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,"Arbitrary int16_t a,b without representability restriction",Deliberately removes required representability condition,r[i] = mathematical a[i]+b[i] for all pairs,PA-03 negative-control harness,MEANINGFUL_NEGATIVE,YES,YES,COUNTEREXAMPLE,N/A,Counterexample confirms unrestricted exact-addition claim is false in the C/int16 model.,Does not refute the representability-qualified PA-02A claim.,LOC-C01-UA,mlk_poly_add_cleanroom/PA3/pa03_mlk_poly_add_unrestricted_negative_control_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA3/pa03_mlk_poly_add_unrestricted_negative_control_harness.c,37f9893284959fc9406d7e4bee06848b7c4e9e1cf717fe3c0d699ac5ca0f2487,RESOLVED,1,experiments/poly-add/PA03-unrestricted-negative-control/curated-records/pa03_mlk_poly_add_unrestricted_negative_control_harness.c,37f9893284959fc9406d7e4bee06848b7c4e9e1cf717fe3c0d699ac5ca0f2487,RESOLVED_HASH_MATCH,6
PR-C01-019,1,UNASSISTED,mlk_poly_add,PA-04A.P1,Safe-alias exact doubling,Aliasing diagnostic,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Out-of-contract r==b diagnostic with coefficient doubling representable,Diagnostic only; no change to production contract,r[i]=2*before_r[i],PA-04A alias-safe harness,SUPPORTED_DIAGNOSTIC,YES,YES,SUPPORTED,PROPERTY-DEPENDENT,The selected safe alias diagnostic behaves as stated.,Does not authorize aliasing in production contracts.,LOC-C01-UA,mlk_poly_add_cleanroom/PA4/pa04a_mlk_poly_add_alias_safe_doubling_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA4/pa04a_mlk_poly_add_alias_safe_doubling_harness.c,d03869edcf12179e98feff2d1ddb84025474a13ac133fc140040615eddd6d4a4,RESOLVED,1,experiments/poly-add/PA04-aliasing-diagnostic/curated-records/pa04a_mlk_poly_add_alias_safe_doubling_harness.c,d03869edcf12179e98feff2d1ddb84025474a13ac133fc140040615eddd6d4a4,RESOLVED_HASH_MATCH,6
PR-C01-020,1,UNASSISTED,mlk_poly_add,PA-04A.P2,Safe-alias modulo-q doubling,Aliasing diagnostic,d9613cf60de3132d32475c102d8c2781d84feb34,ML-KEM-768 primary; PA-06 additionally 512/768/1024,Out-of-contract r==b diagnostic with coefficient doubling representable,Diagnostic only; no change to production contract,canon_q(r[i])=canon_q(2*before_r[i]),PA-04A alias-safe harness,SUPPORTED_DIAGNOSTIC,YES,YES,SUPPORTED,PROPERTY-DEPENDENT,The selected safe alias diagnostic behaves as stated.,Does not authorize aliasing in production contracts.,LOC-C01-UA,mlk_poly_add_cleanroom/PA4/pa04a_mlk_poly_add_alias_safe_doubling_harness.c,PARTIAL,mlk_poly_add_cleanroom.zip,ac9eae921e26342de0508d08c312605fede5a339b3921b065e2d56ea59c286de,mlk_poly_add_cleanroom/PA4/pa04a_mlk_poly_add_alias_safe_doubling_harness.c,d03869edcf12179e98feff2d1ddb84025474a13ac133fc140040615eddd6d4a4,RESOLVED,1,experiments/poly-add/PA04-aliasing-diagnostic/curated-records/pa04a_mlk_poly_add_alias_safe_doubling_harness.c,d03869edcf12179e98feff2d1ddb84025474a13ac133fc140040615eddd6d4a4,RESOLVED_HASH_MATCH,6
